requirement_id,original_prompt_section,requirement_text,status,evidence_class,captured_at_utc,source,repo_file_or_gcp_resource,workflow_run_id,artifact_id,screenshot,api_endpoint,log_query,finding_id,confidence,reason_code,next_action_owner
R1.7,1,Read remote main: VISUAL_PROOF,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.8,1,Read remote main: AUTHORITY_MATRIX,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.9,1,Read remote main: WORKFLOW_PRIORITY,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.10,1,Read remote main: Issue188,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,Issue #188 OPEN body,,,,,,,HIGH,,CURSOR
R1.11,1,Read remote main: ML_BLUEPRINT,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.12,1,Read remote main: frontend-runtime-smoke.yml,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.13,1,Read remote main: full-cloud-audit.yml,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.14,1,Read remote main: cloud-run-auto-deploy.yml,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.15,1,Read remote main: system3_iam_baseline.json,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.16,1,Inspect main SHA / open PRs / P0P1 issues / Actions,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,GitHub,15_EVIDENCE_INDEX.md,,,,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R1.17,1,Do not begin with SYSTEM_STATE/CHANGE_LOG/reports as authority,DONE_PARTIAL,HISTORICAL_CONTEXT,2026-08-16T06:25:01Z,policy,01_EXECUTIVE_VERDICT.md,,,,,,,MED,STALE_EVIDENCE_REJECTED,CHATGPT
R2.1,2,GitHub remote main is source authority,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,GitHub,00_MANIFEST.json,,,,,,F-001,HIGH,OTHER: main moved post-audit; audit pin remains historical,CURSOR
R2.2,2,GCP production runtime authority,DONE_AND_EVIDENCED,LIVE_GCP_RESOURCE,2026-08-16T06:25:01Z,GCP,04_GCP; live_api,,,,,,,HIGH,,CHATGPT
R2.3,2,Local checkout not production truth,DONE_AND_EVIDENCED,LOCAL_NON_PRODUCTION,2026-08-16T06:25:01Z,Git,00_MANIFEST,,,,,,,HIGH,,CURSOR
R2.4,2,Local browser classified LOCAL_NON_PRODUCTION,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,GCP URL,lane_a_ui,,,,,,,HIGH,,CURSOR
R3.1,3,Record AUDIT_REQUEST_START UTC/IST,DONE_AND_EVIDENCED,,2026-08-16T06:25:01Z,audit,00_MANIFEST.json,,,,,,,HIGH,,CHATGPT
R3.2,3,New evidence after audit start for live claims,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP,live_api; scorecard,,,,,,,HIGH,,CHATGPT
R3.3,3,Serving SHA via /api/deploy/info start+end,DONE_AND_EVIDENCED,CURRENT_DEPLOYMENT_METADATA,2026-08-16T06:25:01Z,GCP,lane_a_ui/deploy_info_*.json,,,,,,F-001,HIGH,,CHATGPT
R3.4,3,Reject if serving SHA changes mid-capture,DONE_AND_EVIDENCED,,2026-08-16T06:25:01Z,GCP,00_MANIFEST serving_sha_stable,,,,,,,HIGH,,CHATGPT
R3.5,3,Never promote reports/latest as current,DONE_PARTIAL,HISTORICAL_CONTEXT,2026-08-16T06:25:01Z,policy,01_EXECUTIVE,,,,,,,MED,STALE_EVIDENCE_REJECTED,CHATGPT
R4.1,4,Safety: ANALYZE_MODE,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.2,4,Safety: LIVE_TRADING=0,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.3,4,Safety: no orders,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.4,4,Safety: no secret payloads,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.5,4,Safety: no SM payload,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.6,4,Safety: no SA key gen,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.7,4,Safety: no billing change,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.8,4,Safety: no repeated mint,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R4.9,4,Safety: no restart-to-fix,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_API,2026-08-16T06:25:01Z,GCP+policy,00_MANIFEST; api_broker_status,,,,,,F-014,HIGH,MUTATION_FORBIDDEN_BY_SAFETY,CHATGPT
R5.1,5,Independent lanes A-G,DONE_AND_EVIDENCED,,2026-08-16T06:25:01Z,agents,14_; lane_* FINDINGS,,,,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R5.2,5,Two evidence classes for important findings,DONE_PARTIAL,,2026-08-16T06:25:01Z,mixed,14_MULTI_AGENT; 00_MASTER,,,,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R5.3,5,Do not create extra workflow,DONE_AND_EVIDENCED,,2026-08-16T06:25:01Z,GitHub,PR242 file list,,,,,,,HIGH,,CHATGPT
R6.decision-intel.screenshot,6,Tab decision-intel: capture screenshot,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.visible_text,6,Tab decision-intel: capture visible_text,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.utc_ts,6,Tab decision-intel: capture utc_ts,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.ist_ts,6,Tab decision-intel: capture ist_ts,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.active_tab,6,Tab decision-intel: capture active_tab,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.semantic_state,6,Tab decision-intel: capture semantic_state,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.api_compare,6,Tab decision-intel: capture api_compare,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.console_errors,6,Tab decision-intel: capture console_errors,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.network_errors,6,Tab decision-intel: capture network_errors,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.freshness,6,Tab decision-intel: capture freshness,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.provenance,6,Tab decision-intel: capture provenance,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.empty_loading,6,Tab decision-intel: capture empty_loading,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.visual_defect,6,Tab decision-intel: capture visual_defect,NOT_DONE,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R6.decision-intel.wiring_trace,6,Tab decision-intel: capture wiring_trace,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.backend_endpoint,6,Tab decision-intel: capture backend_endpoint,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.frontend_component,6,Tab decision-intel: capture frontend_component,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.decision-intel.recommended_correction,6,Tab decision-intel: capture recommended_correction,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.decision-intel.mobile_responsive,6,Tab decision-intel: capture mobile_responsive,NOT_DONE,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R6.truth.screenshot,6,Tab truth: capture screenshot,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.visible_text,6,Tab truth: capture visible_text,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.utc_ts,6,Tab truth: capture utc_ts,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.ist_ts,6,Tab truth: capture ist_ts,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.active_tab,6,Tab truth: capture active_tab,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.semantic_state,6,Tab truth: capture semantic_state,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.api_compare,6,Tab truth: capture api_compare,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.console_errors,6,Tab truth: capture console_errors,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.network_errors,6,Tab truth: capture network_errors,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.freshness,6,Tab truth: capture freshness,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.provenance,6,Tab truth: capture provenance,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.empty_loading,6,Tab truth: capture empty_loading,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.visual_defect,6,Tab truth: capture visual_defect,NOT_DONE,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R6.truth.wiring_trace,6,Tab truth: capture wiring_trace,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.backend_endpoint,6,Tab truth: capture backend_endpoint,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.frontend_component,6,Tab truth: capture frontend_component,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.truth.recommended_correction,6,Tab truth: capture recommended_correction,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.truth.mobile_responsive,6,Tab truth: capture mobile_responsive,NOT_DONE,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R6.genesis.screenshot,6,Tab genesis: capture screenshot,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.visible_text,6,Tab genesis: capture visible_text,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.utc_ts,6,Tab genesis: capture utc_ts,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.ist_ts,6,Tab genesis: capture ist_ts,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.active_tab,6,Tab genesis: capture active_tab,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.semantic_state,6,Tab genesis: capture semantic_state,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.api_compare,6,Tab genesis: capture api_compare,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.console_errors,6,Tab genesis: capture console_errors,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.network_errors,6,Tab genesis: capture network_errors,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.freshness,6,Tab genesis: capture freshness,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.provenance,6,Tab genesis: capture provenance,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.empty_loading,6,Tab genesis: capture empty_loading,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.visual_defect,6,Tab genesis: capture visual_defect,NOT_DONE,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,TIME_BUDGET_LIMITATION,CURSOR
R6.genesis.wiring_trace,6,Tab genesis: capture wiring_trace,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.backend_endpoint,6,Tab genesis: capture backend_endpoint,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
R6.genesis.frontend_component,6,Tab genesis: capture frontend_component,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,HIGH,,CHATGPT
R6.genesis.recommended_correction,6,Tab genesis: capture recommended_correction,DONE_PARTIAL,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,LIVE_BROWSER,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,lane_a_ui/*.png,,,,MED,INSUFFICIENT_EVIDENCE,CURSOR
