tab,capture_utc,capture_ist,url,text_len,markers,console_errors,api_call_count,screenshot_local,classification,notes
paper,2026-08-16T06:32:48.044330+00:00,2026-08-16T12:02:48.044330+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=paper,2719,poll|market closed|connected|dhan|paper|live off,0,15,LOCAL_SCRATCH lane_a_ui/10_paper.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
positions,2026-08-16T06:32:51.898293+00:00,2026-08-16T12:02:51.898293+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=positions,1302,poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/11_positions.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
risk-scenarios,2026-08-16T06:32:55.650428+00:00,2026-08-16T12:02:55.650428+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=risk-scenarios,1610,poll|market closed|connected|dhan|paper|live off,0,12,LOCAL_SCRATCH lane_a_ui/12_risk-scenarios.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
multibagger,2026-08-16T06:32:59.567983+00:00,2026-08-16T12:02:59.567983+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=multibagger,1333,waiting|poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/13_multibagger.png,WAITING_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
prediction-audit,2026-08-16T06:33:03.892755+00:00,2026-08-16T12:03:03.892755+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=prediction-audit,1084,poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/14_prediction-audit.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
performance,2026-08-16T06:33:08.048979+00:00,2026-08-16T12:03:08.048979+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=performance,2180,poll|market closed|connected|dhan|paper|live off,0,13,LOCAL_SCRATCH lane_a_ui/15_performance.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
ml,2026-08-16T06:33:11.823833+00:00,2026-08-16T12:03:11.823833+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=ml,1538,poll|market closed|connected|dhan|paper|live off,0,14,LOCAL_SCRATCH lane_a_ui/16_ml.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
data-integrity,2026-08-16T06:33:15.688497+00:00,2026-08-16T12:03:15.688497+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=data-integrity,1472,error|poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/17_data-integrity.png,ERROR_MARKER_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
broker,2026-08-16T06:33:19.520203+00:00,2026-08-16T12:03:19.520203+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=broker,2344,poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/18_broker.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
alerts,2026-08-16T06:33:23.275747+00:00,2026-08-16T12:03:23.275747+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=alerts,1439,poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/19_alerts.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
system,2026-08-16T06:33:26.989403+00:00,2026-08-16T12:03:26.989403+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=system,1717,waiting|poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/20_system.png,WAITING_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
gates,2026-08-16T06:33:30.710800+00:00,2026-08-16T12:03:30.710800+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=gates,1757,poll|market closed|connected|dhan|paper|live off,0,12,LOCAL_SCRATCH lane_a_ui/21_gates.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
