issue_id,priority,category,title,status,live_proof,dashboard_url_impact,need_from_user,recommendation,owner,gate_or_blocker,impact_on_user,serving_sha,github_main_sha,updated_utc
PEND-011,P1,api_404,/api/holdings and /api/funds 404,OPEN,Sweep 404; broker nested holdings/funds OK in /api/broker/status,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/ portfolio-like tabs; Dhan portfolio,None,Expose read-only holdings/funds routes from broker truth already proven,Cursor-backend,PORTFOLIO,Dashboard cannot show portfolio/funds vs Dhan,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-012,P1,api_404,/api/charts/NIFTY 404 — no chart parity,OPEN,Sweep 404; /ui/?tab=charts SPA shell only,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=charts,None,Implement charts API+UI or mark tab MISSING (no false-green),Cursor-UI,CHARTS,Charts tab empty/broken vs Dhan graphs,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-013,P1,api_404,/api/multibagger and /api/predictions /api/backtest 404,OPEN,Sweep 404,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/ performance/prediction surfaces,None,Wire or remove dead nav; never false-green,Cursor-backend,ML_UI,Prediction/backtest UX missing,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-014,P0,paper,Paper open positions empty — Positions file not found,OPEN,/api/paper positions open_count=0 message=Positions file not found,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=paper,Confirm accept analyzer/paper-only (LIVE stays OFF),Fix paper_cloud_sim persistence path /app/outputs/positions_live.json on Cloud Run volume/GCS,Cursor-backend,SYS3-BLK-008,Paper tab shows no live open positions,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-015,P0,paper,Paper P&L only stale Feb 2026 synthetic summary (9 trades -1806),OPEN,pnl.summary total_trades=9 win_rate=0.3333 note=Feb 1 2026 paper session synthetic,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=paper,None,Generate same-day market-hours paper lifecycle rows with Dhan MTM; replace synthetic-only truth,Cursor-backend,SYS3-BLK-008,User cannot see current paper progress / profit proof,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-016,P0,paper,Paper subroutes 404 (/trades /positions /status /pnl /summary),OPEN,Sweep all /api/paper/* subpaths 404; only /api/paper 200,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=paper,None,Either implement subroutes or point UI exclusively at /api/paper aggregate,Cursor-backend,PAPER_API,UI clients expecting REST subpaths fail silently,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-017,P0,paper,Paper lifecycle gate FAIL (SYS3-BLK-008),OPEN,REAL_PAPER_LIFECYCLE_MARKET_DAY_PROOF pass=false,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=paper + /api/auto_gates,None,Run/fix paper_lifecycle_proof during market hours with broker connected,Cursor-GCP,SYS3-BLK-008,Blocks trade_ready; no production paper proof,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-018,P0,paper,Positive net expectancy FAIL (PROFIT_BLOCKER),OPEN,net_expectancy_after_costs=-196.14 win_rate=0.3333 trades=9,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=paper + performance,None — do NOT weaken gate,Improve signal quality + friction model; accumulate closed paper trades with +expectancy,Cursor-ML,PROFIT_BLOCKER,Cannot claim profitable system; LIVE blocked,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-019,P0,ml,Spearman ρ gate FAIL (latest 0.30 need ≥0.70 over 5 days),OPEN,days_recorded=8 days_passing=2 latest_rho=0.3,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=performance + /api/ml/performance,None — do NOT lower threshold,daily_gain_validate + auto_retrain if rho<0.40 x3; feature/model fix,Cursor-ML,SYS3-BLK-005,Prediction accuracy not proven; ML tab BLOCKED,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-020,P0,ml,ML performance model_accuracy_report BLOCKED (0 predictions),OPEN,/api/ml/performance model_proof_ready=false total_predictions=0,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=performance,None,Ensure prediction writer runs and UI shows BLOCKED honestly until data exists,Cursor-ML,ML_PROOF,No visible prediction accuracy on dashboard,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-021,P0,signals,Signals NO_TRADE — Signal file not found,OPEN,/api/signals action=NO_TRADE reason=Signal file not found,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=signals,None,Persist scanner→signal artifact on cloud path used by API,Cursor-backend,PAPER_PIPELINE,No paper candidates generated,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-022,P1,positions,/api/positions empty — Positions file not found,OPEN,open_count=0,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/ positions surfaces,None,Align positions file path with paper engine + broker read-only positions,Cursor-backend,POSITIONS,Empty positions vs Dhan positions page,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-023,P0,freshness,WebSocket/tick health gate FAIL,OPEN,WEBSOCKET_TICK_HEALTH_PROVEN pass=false tick_age~17s refresh=60s,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,REST≤10s for analyzer; WS for live; prove freshness badge,Cursor-backend,TICK_HEALTH_BLOCKER,Stale data risk; gate blocks LIVE,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-024,P0,visibility,Option strike visibility gate FAIL,OPEN,OPTION_STRIKE_VISIBILITY_PROVEN pass=false,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,Run system3_option_visibility_audit.py; fix ATM window + CE/PE coverage,Cursor-UI,SYS3-BLK-003,Incomplete option universe on UI,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-025,P1,auth,Dashboard API key not required (public_readonly),WATCH,/api/auth/status required=false configured=false mode=public_readonly,https://genesis-system3-web-doq2wplepa-el.a.run.app/api/*,Decide if REQUIRE_API_KEY must be enforced for production,If yes: mount Secret Manager key + enforce; if no: document intentional public analyzer,User+Cursor,APIKEY,Security posture; Claude memory claimed blocker,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-026,P1,governance,No RUHI progress board on production UI,OPEN,RUHI-009 still OPEN historically,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/,Confirm want visible progress board on dashboard,Read-only board from pending CSV / ledger on UI,Cursor-UI,RUHI-009,User cannot see agent progress without GitHub/CSV,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-027,P2,memory,Claude.ai project memory stale (Aug16 SHAs/timeouts),OPEN,Cross-verify DONE 2026-08-25; memory still misleads agents,N/A (agent ops),In Claude project: clear/update memory to point at runbook §9 + live URLs only,Paste KEEP principles; delete a568591/a59beb8/v45/no-gcloud myths,User,MEMORY,Agents burn cycles on false blockers,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-028,P1,gates,Overall technical gates 2/7 — trade_ready=false,OPEN,gates_passing=2 gates_total=7 analyzer_ready=true production_live_ready=false,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/ + /api/auto_gates,Keep LIVE OFF until 7/7; no break-glass unless you explicitly order,Close PEND-014..024 in priority order; never dilute gates,All,GATES_2_7,LIVE trading correctly blocked; paper/accuracy incomplete,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-029,P1,dhan_parity,Full Dhan match acceptance still FAIL,OPEN,DHAN_LIVE_PARITY_ISSUES.md acceptance FAIL,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain vs https://web.dhan.co/advancedoptionchain,Keep Dhan web logged in for human visual confirm when asked,Close PEND-004..012 then same-session browser proof,Cursor+User,DHAN_PARITY,Dashboard not world-class vs Dhan,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-030,P2,laptop,Cursor workspace often opens banned C:\System3 path,OPEN,Workspace Path historically C:\System3\Genesis_System3 (broken git),N/A,Open Cursor folder C:\Users\ADMIN\Genesis_System3\Genesis_System3 only,Close wrong window; use primary clone / E: worktree,User,PATH,Agents may refuse edit or work wrong tree,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
