# Python compile smoke for model/backtest candidates
Python 3.12.3
PY_COMPILE_PASS core/engine/system3_phase254_production_model_switcher.py
PY_COMPILE_PASS core/engine/system3_phase255_model_performance_logger.py
PY_COMPILE_PASS core/engine/system3_phase273_model_ensemble_builder.py
PY_COMPILE_PASS core/engine/system3_phase280_strategy_backtester.py
PY_COMPILE_PASS core/engine/system3_phase283_drift_monitor.py
PY_COMPILE_PASS core/engine/system3_phase294_strategy_performance_report.py
PY_COMPILE_PASS core/engine/system3_phase296_model_performance_report.py
PY_COMPILE_PASS core/engine/system3_phase327_predictive_failure_scout.py
PY_COMPILE_PASS core/engine/system3_phase334_model_drift_snapshot.py
PY_COMPILE_PASS core/engine/system3_phase335_model_drift_analyzer.py
PY_COMPILE_PASS core/engine/system3_phase341_model_drift_detector_v2.py
PY_COMPILE_PASS core/engine/system3_phase34_ultra_shadow_exec.py
PY_COMPILE_PASS core/engine/system3_phase362_forward_calibrator.py
PY_COMPILE_PASS core/engine/system3_phase363_model_drift_checker.py
PY_COMPILE_PASS core/engine/system3_phase365_accuracy_tracker.py
PY_COMPILE_PASS core/engine/system3_phase366_strategy_ensemble_evaluator.py
PY_COMPILE_PASS core/engine/system3_phase377_validation_report_generator.py
PY_COMPILE_PASS core/engine/system3_phase381_ultra_models_scanner.py
PY_COMPILE_PASS core/engine/system3_phase382_ultra_models_validator.py
PY_COMPILE_PASS core/engine/system3_phase383_ultra_backtest_sampler.py
PY_COMPILE_PASS core/engine/system3_phase391_xgboost_training.py
PY_COMPILE_PASS core/engine/system3_phase39_shadow_campaign.py
PY_COMPILE_PASS core/engine/train_angel_models.py
PY_COMPILE_PASS core/engine/trend_model/__init__.py
PY_COMPILE_PASS core/engine/trend_model/trend_analyzer.py
PY_COMPILE_PASS core/engine/ultra_live_signals_shadow.py
PY_COMPILE_PASS core/engine/ultra_models_loader.py
PY_COMPILE_PASS core/engine/ultra_shadow_data_engine.py
PY_COMPILE_PASS core/engine/ultra_train_models.py
PY_COMPILE_PASS core/engine/volatility_model/__init__.py
PY_COMPILE_PASS core/engine/volatility_model/volatility_analyzer.py
PY_COMPILE_PASS core/execution/order_models.py
PY_COMPILE_PASS core/models/__init__.py
PY_COMPILE_PASS core/ultra/phase24_confidence_drift.py
PY_COMPILE_PASS core/ultra/phase30_calibration_engine.py
PY_COMPILE_PASS core/ultra/phase50_prediction_explainer.py
PY_COMPILE_PASS core/validation/__init__.py
PY_COMPILE_PASS core/validation/live_safety_guard.py
PY_COMPILE_PASS core/validation/option_chain_validator.py
PY_COMPILE_PASS core/validation/post_close_signal_audit.py
PY_COMPILE_PASS core/validation/pre_market_signal_dryrun.py
PY_COMPILE_PASS core/validation/validate_live_thresholds.py
PY_COMPILE_PASS dashboard/backend/backtesting.py
PY_COMPILE_PASS dashboard/backend/multi_validation_audit.py
PY_COMPILE_PASS dashboard/backend/performance_predictor.py
PY_COMPILE_PASS evaluate_phase249_models.py
PY_COMPILE_PASS final_system_validation_test.py
PY_COMPILE_PASS final_validation_and_build.py
PY_COMPILE_PASS fix_ultra_model_feature_mismatch.py
PY_COMPILE_PASS full_validation_with_auto_improvement.py
PY_COMPILE_PASS master_full_validation_suite.py
PY_COMPILE_PASS model_training_v2.py
PY_COMPILE_PASS production_grade_validation.py
PY_COMPILE_PASS production_grade_zero_errors_validation.py
PY_COMPILE_PASS quick_validation_and_improvement.py
PY_COMPILE_PASS quick_validation_before_build.py
PY_COMPILE_PASS run_complete_validation.py
PY_COMPILE_PASS run_validation_report.py
PY_COMPILE_PASS scripts/build_advanced_excel_with_ai_predictions.py
PY_COMPILE_PASS scripts/comprehensive_dashboard_validation.py
PY_COMPILE_PASS scripts/comprehensive_validation_and_test.py
PY_COMPILE_PASS scripts/enhance_optionchain_with_predictions.py
PY_COMPILE_PASS scripts/final_best_strategy_selector.py
PY_COMPILE_PASS scripts/future_proof_validation.py
PY_COMPILE_PASS scripts/pre_trading_validation.py
PY_COMPILE_PASS scripts/run_three_validation_cycles.py
PY_COMPILE_PASS scripts/test_performance_prediction.py
PY_COMPILE_PASS src/ml/ensemble_predictor.py
PY_COMPILE_PASS src/selector/strategy_engine.py
PY_COMPILE_PASS src/validation/qc_validator.py
PY_COMPILE_PASS system3_comprehensive_validation.py
PY_COMPILE_PASS system3_csv_deep_validation.py
PY_COMPILE_PASS system3_inspect_training_data.py
PY_COMPILE_PASS system3_model_fitness_audit.py
PY_COMPILE_PASS system3_model_lab.py
PY_COMPILE_PASS system3_pre_autorun_validation.py
PY_COMPILE_PASS system3_ultra_validation.py
PY_COMPILE_PASS test_validation.py
PY_COMPILE_PASS tools/clean_training_csv.py
tools/inspect_training_csv.py:1: SyntaxWarning: invalid escape sequence '\S'
  """Inspect lines around a problematic CSV row for debugging.
PY_COMPILE_PASS tools/inspect_training_csv.py
PY_COMPILE_PASS tools/model_benchmark_leaderboard.py
PY_COMPILE_PASS wait_and_complete_validation.py
