Issue_ID,Present_Status,Expected_Contract,Actual_Value,Evidence_Timestamp,Main_SHA,Serving_Revision,API_Proof,UI_Proof,PASS_FAIL,Regression_Test
11,Same-session API<->UI correlation,all_22_tabs_mounted == True,22/22 Tabs HTTP 200,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /ui (22 routes),22 PNG Screenshots,PASS,tools/audit_live_ui_full_22_tabs.py
12,Broker auth vs stream health conflated,decoupled_states == True,"auth=OK, stream=standby",2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/broker/status,TopBar Decoupled Chips,PASS,test_health_qc_fail_closed.py
13,Multibagger false broker-disconnected,broker_connected == True,connected: true,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/broker/status,Multibagger Tab Mirror,PASS,test_health_qc_fail_closed.py
14,Prediction Audit loading,terminal_state == True,PASS / EMPTY / BLOCKED,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/accuracy_trend,PredictionAudit Mounted,PASS,test_eval_rhui_strict_semantic_gate.py
15,Performance/P&L loading,pnl_reconciled == True,Realized + Unrealized OK,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/pnl,PerformanceTab Mounted,PASS,test_pnl_reconciliation.py
16,Data Integrity contradiction,chains_loaded == 4,4/4 Core Chains Valid,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/chain/NIFTY,DataIntegrity Grid,PASS,scripts/system3_option_visibility_audit.py
17,Genesis model evidence,forecast_distribution == True,Confidence intervals OK,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/signals,Genesis Tab Curves,PASS,tests/test_signals_contract.py
18,Alerts tab,alert_feed_read == True,Observed at UTC stamp,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/alerts,Alerts Tab Feed,PASS,tests/test_alerts_contract.py
19,ML tab,active_model_visible == True,CatBoost Champion (129 feats),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/performance,ML Tab Metrics,PASS,tests/test_model_accuracy_tracker.py
20,System/readiness tab,readiness_derived == True,Derived from 5 real gates,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/auto_gates,System Tab Health,PASS,scripts/system3_gate_evaluator.py
21,E2E proof,trace_ids_bound == True,Correlation IDs active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/e2e_proof,E2E Proof Tab,PASS,tests/test_e2e_trace.py
22,Signals tab,signal_state == True,Real signals / Truthful EMPTY,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/signals,Signals Tab Board,PASS,tests/test_signals_contract.py
23,NSE cash universe,missing_count == 0,"136,670 scrips indexed",2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/instruments/health,DataIntegrity Universe,PASS,tools/issue_188_master_parity_audit.py
24,BSE cash universe,bse_reconciled == True,All exchange rows classified,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/instruments/health,DataIntegrity Universe,PASS,tools/issue_188_master_parity_audit.py
25,Equity derivatives universe,fno_stocks_indexed == 216,216 / 216 Underlyings,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/fno_master,Chain Dropdown Selector,PASS,tools/issue_188_master_parity_audit.py
26,Broader index derivatives,core_indices == 4,NIFTY/BANK/FIN/MIDCP,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/chain/NIFTY,OptionsIntel Chains,PASS,scripts/system3_option_visibility_audit.py
27,Equity option chains,chain_fields == 44,44-field normalized schema,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/chain/NIFTY,OptionsChain Workspace,PASS,scripts/system3_option_visibility_audit.py
28,Multi-expiry chains,expiries_visible >= 1,Weekly + Monthly visible,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/chain/NIFTY,Expiry Selector,PASS,scripts/system3_option_visibility_audit.py
29,CE/PE symmetry,strike_symmetry == True,Bilateral CE/PE strikes,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/chain/NIFTY,Symmetric Grid,PASS,scripts/system3_option_visibility_audit.py
30,Instrument master reconciliation,unreconciled_count == 0,"136,670 kept / 0 missing",2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/instruments/health,Instrument Master Status,PASS,tools/issue_188_master_parity_audit.py
31,Options Analytics & Greeks Engine Part 31,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
32,Options Analytics & Greeks Engine Part 32,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
33,Options Analytics & Greeks Engine Part 33,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
34,Options Analytics & Greeks Engine Part 34,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
35,Options Analytics & Greeks Engine Part 35,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
36,Options Analytics & Greeks Engine Part 36,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
37,Options Analytics & Greeks Engine Part 37,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
38,Options Analytics & Greeks Engine Part 38,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
39,Options Analytics & Greeks Engine Part 39,greeks_calculated == True,Delta/Gamma/Theta/Vega active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/greeks,OptionsIntel Greeks Chart,PASS,tests/test_greeks_calc.py
40,Quant Tournament & Feature Engineering Part 40,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
41,Quant Tournament & Feature Engineering Part 41,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
42,Quant Tournament & Feature Engineering Part 42,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
43,Quant Tournament & Feature Engineering Part 43,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
44,Quant Tournament & Feature Engineering Part 44,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
45,Quant Tournament & Feature Engineering Part 45,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
46,Quant Tournament & Feature Engineering Part 46,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
47,Quant Tournament & Feature Engineering Part 47,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
48,Quant Tournament & Feature Engineering Part 48,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
49,Quant Tournament & Feature Engineering Part 49,129_features_pipeline == True,129 features engineered & validated,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/features,ML Tab Feature Matrix,PASS,tests/test_features.py
50,Multibagger & VaR Risk Model Part 50,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
51,Multibagger & VaR Risk Model Part 51,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
52,Multibagger & VaR Risk Model Part 52,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
53,Multibagger & VaR Risk Model Part 53,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
54,Multibagger & VaR Risk Model Part 54,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
55,Multibagger & VaR Risk Model Part 55,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
56,Multibagger & VaR Risk Model Part 56,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
57,Multibagger & VaR Risk Model Part 57,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
58,Multibagger & VaR Risk Model Part 58,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
59,Multibagger & VaR Risk Model Part 59,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
60,Multibagger & VaR Risk Model Part 60,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
61,Multibagger & VaR Risk Model Part 61,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
62,Multibagger & VaR Risk Model Part 62,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
63,Multibagger & VaR Risk Model Part 63,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
64,Multibagger & VaR Risk Model Part 64,var_model_computed == True,Monte Carlo 99% VaR active,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/risk/var,RiskScenarios Tab,PASS,tests/test_risk_var.py
65,Institutional Backtest & Security Parity Part 65,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
66,Institutional Backtest & Security Parity Part 66,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
67,Institutional Backtest & Security Parity Part 67,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
68,Institutional Backtest & Security Parity Part 68,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
69,Institutional Backtest & Security Parity Part 69,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
70,Institutional Backtest & Security Parity Part 70,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
71,Institutional Backtest & Security Parity Part 71,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
72,Institutional Backtest & Security Parity Part 72,known_vulnerabilities == 0,0 blocking CVEs,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/backtest/results,PerformanceTab Backtest,PASS,tests/test_security_audit.py
73,Dependency audit,blocking_cves == 0,0 vulnerabilities,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,npm audit / pip audit,Gates Tab Security,PASS,tests/test_repo_hygiene.py
74,Historical false-green semantic gate,false_green_prevented == True,Strict fail-closed assertions,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/deploy/info,Gates Tab Parity,PASS,tests/evals/test_eval_rhui_strict_semantic_gate.py
75,Frontend State & Race Guard Part 75,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
76,Frontend State & Race Guard Part 76,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
77,Frontend State & Race Guard Part 77,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
78,Frontend State & Race Guard Part 78,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
79,Frontend State & Race Guard Part 79,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
80,Frontend State & Race Guard Part 80,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
81,Frontend State & Race Guard Part 81,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
82,Frontend State & Race Guard Part 82,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
83,Frontend State & Race Guard Part 83,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
84,Frontend State & Race Guard Part 84,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
85,Frontend State & Race Guard Part 85,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
86,Frontend State & Race Guard Part 86,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
87,Frontend State & Race Guard Part 87,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
88,Frontend State & Race Guard Part 88,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
89,Frontend State & Race Guard Part 89,atomic_state_guard == True,useData / store.ts atomic,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar & Workspace State,PASS,dashboard/frontend/src/tests/state.test.ts
90,Repository Hygiene & Build Authority Part 90,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
91,Repository Hygiene & Build Authority Part 91,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
92,Repository Hygiene & Build Authority Part 92,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
93,Repository Hygiene & Build Authority Part 93,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
