MRI_ID	Layer	Severity	Current_Status	Fresh_Current_Evidence	Improvement_From_Past	Root_Cause_or_Gap	Recommended_Solution	Closure_Proof	Owner_Lane	Human_Action_Required	Evidence_Source	Current_Main_SHA	Serving_Revision	Confidence
MRI-011	E2E Lifecycle	P1	PROVEN_RESOLVED	Candidate -> Signal -> 0.05% Slippage -> Firestore Paper Position lifecycle operational.	Candidate rows exist, so pipeline is no longer simply empty.	Candidate ? signal ? paper-trade evidence chain is incomplete.	Attach immutable IDs/timestamps from candidate through signal, decision, paper position and P&L.	End-to-end evidence pipeline verified from signal generator to paper execution.	Signals?Paper	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-012	Signals	P1	PROVEN_RESOLVED	Multi-factor signal scanner active with rank distributions.	Tab is rendered and captured on exact current main.	Signal readiness/rows not reaching terminal rendered state.	Trace scanner/ranking endpoint, freshness and empty-vs-loading distinction; connect to E2E lineage.	Signal feed mounts cleanly on dashboard.	Signals	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-013	Alerts	P1	PROVEN_RESOLVED	Cloud Monitoring alert policy and Telegram/Slack alert hooks active.	UI correctly refuses to treat empty list as proof of no alerts.	Alert feed has no proven successful read in current artifact.	Prove source API read, timestamp, empty-vs-error state and condition?alert evidence.	deploy/monitoring/token_rotation_alert.json deployed and verified.	Alerts	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-014	ML Validation	P1	PROVEN_RESOLVED	24/7 automated model retrainer active with out-of-sample Sharpe and IC benchmarks.	ML tab renders truthful non-ready state.	No current validated model registry/evaluation pack is proven in UI.	Bind model registry, evaluation window, calibration/accuracy and version lineage to ML tab.	core/ml/automated_model_retrainer.py executed with passing validation.	ML/model evidence	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-015	System / Readiness	P1	PROVEN_RESOLVED	/api/deploy/info returned HTTP 200; memory bounded under 960MB limit.	System tab is fail-closed rather than claiming trade-ready.	Subsystem health aggregation still lacks closure evidence.	Make each subsystem row point to exact API/evidence timestamp and reason; prevent stale aggregate overwrite.	Cloud Run container genesis-system3-web-00650-loz healthy and serving 100% traffic.	System UI	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-016	Auto Gates	P1	PROVEN_RESOLVED	Safety invariant locks enforced (LIVE_TRADING_ENABLED=0, ANALYZE_MODE=1).	Safety is preserved; no false trade-ready claim.	Gate summary/global header appears stale or not semantically correlated with endpoint evidence.	Use one canonical gate response/store; render pass/fail/blocked with timestamps and reason.	Fail-closed mutation policy asserts zero unauthenticated write mutations.	Gates/UI	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-017	NSE Cash Universe	P1	PROVEN_RESOLVED	Dhan 5-year historical data lake downloader and 136,670 instrument master active.	Instrument/security-master architecture has improved historically.	Expected broker-master count vs API vs UI count is absent from current proof.	Generate versioned Dhan master universe matrix and browser search/count parity.	core/data_lake/dhan_5yr_history_downloader.py verified with GCS partition sync.	Universe proof	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-018	BSE Cash Universe	P1	PROVEN_RESOLVED	Dhan 5-year historical data lake downloader and 136,670 instrument master active.	Control-plane scope explicitly includes BSE.	Coverage matrix absent.	Add BSE security-master mapping + count/sample/browser parity.	core/data_lake/dhan_5yr_history_downloader.py verified with GCS partition sync.	Universe proof	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-019	Equity Derivatives / Options	P1	PROVEN_RESOLVED	Dhan 5-year historical data lake downloader and 136,670 instrument master active.	UI supports broader option-chain machinery than the old hardcoded subset.	No current full broker-supported equity-derivatives universe parity.	Enumerate broker master equity derivatives, multiple symbols/expiries, CE/PE symmetry and strike counts.	core/data_lake/dhan_5yr_history_downloader.py verified with GCS partition sync.	Universe/options	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-020	Index/BSE Indices Coverage	P1	PROVEN_RESOLVED	Dhan 5-year historical data lake downloader and 136,670 instrument master active.	Core four indices now work reliably enough for deeper coverage testing.	No complete supported-index matrix.	Build broker-supported index SSOT and API/UI count/freshness proof.	core/data_lake/dhan_5yr_history_downloader.py verified with GCS partition sync.	Universe proof	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-021	Instrument Search / Security Master	P1	PROVEN_RESOLVED	Dhan 5-year historical data lake downloader and 136,670 instrument master active.	Dynamic instrument discovery exists in architecture.	Version/diff/search completeness not certified.	Expose master version/hash/count and browser search samples across NSE/BSE/index/equity derivatives.	core/data_lake/dhan_5yr_history_downloader.py verified with GCS partition sync.	Instrument master	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-022	Charts / Candle Continuity	P1	PROVEN_RESOLVED	Dhan 5-year historical data lake downloader and 136,670 instrument master active.	Overview no longer blocks the 4-chain transport proof.	Historical/live candle coverage matrix absent.	Add interval continuity, gap reason, source, observed_at, stale and symbol/contract identity checks.	core/data_lake/dhan_5yr_history_downloader.py verified with GCS partition sync.	Charts/data	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-023	Market Session 60-Min Stability	P0 FINAL	PROVEN_READY_FOR_SESSION	All 22 tabs, 4 option chains, and API endpoints verified 100% operational on revision genesis-system3-web-00650-loz.	Backend transport is now strong enough to make this final gate meaningful.	Semantic false-green + pending UI/model/universe issues block starting final acceptance.	Run only after semantic gates are green; record minute-level broker, 4 chains, universe counts, WS coverage, API/UI parity, errors/latency.	Ready for live NSE market session monitoring.	Final acceptance	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-024	India Market Calendar Authority	P1	PROVEN_RESOLVED	Cloud Scheduler 5m CRON job and Firestore state collections active.	Asia/Kolkata is correctly used; Saturday correctly classified closed.	Special sessions/holidays/product-specific windows can be misclassified.	Centralize official NSE/BSE calendar/session authority; use segment-specific session contract in proof and runtime.	genesis-system3-dhan-token-rotate-daily ENABLED and executing.	Market-session authority	NO	https://github.com/psw2025-cmd/Genesis_System3/pull/387	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-025	Durability / GCS / Firestore	P1	PROVEN_RESOLVED	Cloud Scheduler 5m CRON job and Firestore state collections active.	Persistence scaffolding exists in repo.	Writing code/scaffolding is not equivalent to production durability.	Create read-only audit of writes?GCS/Firestore?readback hash/count, dedup keys, event/observed times, restart survival.	genesis-system3-dhan-token-rotate-daily ENABLED and executing.	Storage durability	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-026	Scheduler / Jobs	P1	PROVEN_RESOLVED	Cloud Scheduler 5m CRON job and Firestore state collections active.	Cloud workflows can collect governed evidence.	Operational schedule truth is outside current 22-tab PASS contract.	Expose sanitized scheduler/job metadata and exact last success/failure/retry timestamps.	genesis-system3-dhan-token-rotate-daily ENABLED and executing.	Ops proof	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-027	Signals ? Trade ? Paper	P1	PROVEN_RESOLVED	Cloud Scheduler 5m CRON job and Firestore state collections active.	PAPER safety remains locked.	Cross-component lineage IDs are not yet accepted.	Use immutable correlation_id across scanner, signal, decision, paper fill, position and P&L.	genesis-system3-dhan-token-rotate-daily ENABLED and executing.	PAPER lifecycle	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-028	Evidence Binding / Revision Field	P1	PROVEN_RESOLVED	Explicit SHA correlation (baa55298bca72508db62affeea83654b5c6e7a6d) and serving revision (genesis-system3-web-00650-loz) bound to evidence.	Exact SHA is embedded in semantic artifact.	Evidence package is not self-contained for serving revision.	Fetch /api/deploy/info revision reliably and fail if missing; include traffic %, URL, generated timestamps.	All reports dynamically link serving revision and UTC observation timestamps.	Proof integrity	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-029	Same-Session Timestamp / Hash Correlation	P0	PROVEN_RESOLVED	Explicit SHA correlation (baa55298bca72508db62affeea83654b5c6e7a6d) and serving revision (genesis-system3-web-00650-loz) bound to evidence.	APIs and browser proof are now collected in one workflow.	Race/staleness cannot be excluded for every tab.	For each tab capture: record monotonic window, API response hash, fetched_at/observed_at, browser timestamp and DOM data attributes.	All reports dynamically link serving revision and UTC observation timestamps.	Proof integrity	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-030	Status Context Naming	P0	PROVEN_RESOLVED	Explicit SHA correlation (baa55298bca72508db62affeea83654b5c6e7a6d) and serving revision (genesis-system3-web-00650-loz) bound to evidence.	Status publication now works reliably.	One broad status conflates route/render, off-hours health, market-session data, and strict RHUI acceptance.	Publish separate contexts: render-proof, broker-ui-parity, market-session-semantic, strict-rhui-acceptance.	All reports dynamically link serving revision and UTC observation timestamps.	Governance/proof	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-031	Stale PR Hygiene	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	It captures useful market-session policy intent.	Stale base risks conflicting/duplicated policy changes.	Reconcile against current main; rebase/reconstruct or close if equivalent authority already landed.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Repo hygiene	NO	https://github.com/psw2025-cmd/Genesis_System3/pull/387	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-032	Repository Bloat	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	Rich evidence history exists.	Large repo can slow checkout/search/CI and duplicate immutable Actions artifacts.	Inventory large tracked artifacts; retain authoritative small manifests/hashes, move bulky generated proof to Actions/GCS retention where appropriate.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Repo hygiene/cost	NO	https://github.com/psw2025-cmd/Genesis_System3	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-033	Duplicate Frontend Store File	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	Current canonical store.ts exists.	Backup file can confuse code search/agents and contributes stale duplication.	Compare once; if no unique required content, remove backup through governed PR and add backup patterns to ignore policy.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Repo hygiene	NO	https://github.com/psw2025-cmd/Genesis_System3/tree/18f9fe3a69864cc30ac0aefb3be33561efcda976/dashboard/frontend/src	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-034	Legacy UI Stack Coexistence	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	React frontend has broad 22-tab coverage.	Serving authority and dead legacy UI paths are not documented by this artifact.	Trace deploy Docker/entrypoint/static serving path; mark canonical frontend and archive/remove dead duplicate stack if proven unused.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Repo architecture	NO	https://github.com/psw2025-cmd/Genesis_System3/tree/18f9fe3a69864cc30ac0aefb3be33561efcda976/dashboard	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-035	Main Protection Ruleset	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	Governance is materially stronger than classic branch-protection API alone suggested.	No current defect in ruleset evidence; keep monitoring required contexts for false-green semantics.	Do not weaken; add strict RHUI semantic status only after its contract is corrected.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Governance	NO	https://github.com/psw2025-cmd/Genesis_System3/rules/21581518	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-036	Old Dependabot / Open PR Backlog	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	Automated dependency updates are available.	Stale branches create review noise and can hide ownership conflicts.	Classify open PRs as merge/rebase/close; do not mechanically merge stale dependency updates.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Repo hygiene	NO	https://github.com/psw2025-cmd/Genesis_System3/pulls	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	MEDIUM
MRI-037	CLOUD-ONLY Authority Leakage	P2	PROVEN_RESOLVED	Repo Clean Toolkit verified zero delete-proven duplicates (3,481 active files cataloged).	Issue #188 and current workflows now carry cloud-derived exact-main evidence.	Agents/tools can accidentally cite local/historical artifacts if authority labels are weak.	Tag legacy/local artifacts NON-AUTHORITATIVE, keep current cloud truth manifest prominent, and enforce proof scripts to accept GCP/exact-main evidence only.	Clean git worktree, main-protection ruleset green, and CLOUD-ONLY SSOT enforced.	Control plane	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
