rank,symbol,expiry,type,strike,ltp,change,gain_pct,volume,open_interest,source,system_decision,candidate_status,recommendation,proof_required,agent_query,acceptance_criteria,final_result_required
"11","SENSEX","27-Aug-26","PE","67,900","1.45","1.15","383.33%","3,360","740","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,900 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"12","SENSEX","27-Aug-26","PE","68,000","1.60","1.25","357.14%","1,37,040","30,360","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 68,000 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"13","FINNIFTY","25-Aug-26","CE","29,200","1.70","0.90","112.50%","120","240","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate FINNIFTY 25-Aug-26 CE strike 29,200 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"14","MIDCPNIFTY","25-Aug-26","PE","13,900","1.95","0.85","77.27%","27,480","11,880","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate MIDCPNIFTY 25-Aug-26 PE strike 13,900 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"15","MIDCPNIFTY","25-Aug-26","PE","13,300","1.15","0.45","64.29%","120","3,720","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate MIDCPNIFTY 25-Aug-26 PE strike 13,300 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"16","FINNIFTY","25-Aug-26","PE","23,900","2.25","0.85","60.71%","540","1,320","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate FINNIFTY 25-Aug-26 PE strike 23,900 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"17","BANKNIFTY","25-Aug-26","PE","51,700","2.70","0.75","38.46%","240","1,920","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate BANKNIFTY 25-Aug-26 PE strike 51,700 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"18","SENSEX","27-Aug-26","CE","75,900","1,868.40","518.40","38.40%","840","760","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 CE strike 75,900 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"19","MIDCPNIFTY","25-Aug-26","PE","13,575","2.30","0.60","35.29%","0","1,560","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate MIDCPNIFTY 25-Aug-26 PE strike 13,575 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"20","MIDCPNIFTY","25-Aug-26","CE","15,625","2.25","0.55","32.35%","0","120","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate MIDCPNIFTY 25-Aug-26 CE strike 15,625 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"21","BANKNIFTY","25-Aug-26","CE","62,800","1.10","0.25","29.41%","3,810","5,430","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate BANKNIFTY 25-Aug-26 CE strike 62,800 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
