issue_id,screenshot_reference,module,component,observed_evidence,issue_class,severity,priority,why_it_matters,what_to_implement,how_to_implement,where_to_change,owner_agent,when_sequence,dependencies,ai_agent_query,proof_required,acceptance_criteria,test_cases,rollback_plan,final_result_required,current_status
"M011","S07: 30cadab6 data foundation/prediction/ML proof partial","Data Integrity","Data foundation partial","120,972 instrument rows fresh, but full cash/futures/history coverage NOT_PROVEN.","Coverage proof","HIGH","P1","Fresh row count is not proof of required coverage.","Publish segment-level coverage and reconciliation.","Count expected vs loaded by exchange/segment/instrument/expiry; sample keys; missing/duplicate report; snapshot hash.","Instruments health API and Data Integrity.","Reference Data Agent","Phase 1-2, week 1","Authoritative exchange master.","You are the Reference Data Agent. Resolve M011 in Data Integrity / Data foundation partial. Observed evidence: 120,972 instrument rows fresh, but full cash/futures/history coverage NOT_PROVEN.. WHAT: Publish segment-level coverage and reconciliation.. HOW: Count expected vs loaded by exchange/segment/instrument/expiry; sample keys; missing/duplicate report; snapshot hash.. WHERE: Instruments health API and Data Integrity.. WHEN: Phase 1-2, week 1. Dependencies: Authoritative exchange master.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Coverage matrix, missing list, duplicates, schema validation and checksum.. Acceptance: 100% required segment coverage or explicit exclusions; no silent gaps.. Run tests: Missing segments, duplicate IDs, expired instruments, schema drift, corporate action tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Coverage matrix, missing list, duplicates, schema validation and checksum.","100% required segment coverage or explicit exclusions; no silent gaps.","Missing segments, duplicate IDs, expired instruments, schema drift, corporate action tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M012","S07: 30cadab6 data foundation/prediction/ML proof partial","Data Integrity","Broker auth vs data reliability","Connected session explicitly does not prove OHLC/quote/LTP health; 429/805/cache fallback possible.","Reliability proof","CRITICAL","P0","Trading logic may consume stale/fallback data under a green broker badge.","Implement authoritative marketfeed health contract.","Track request errors, 429/805, cache fallback, quote age, symbol coverage, websocket gaps and SLO.","Broker/marketfeed backend, health endpoint, UI badges, gates.","Market Data Reliability Agent","Phase 0-2, 1-2 weeks","M002, exchange calendar.","You are the Market Data Reliability Agent. Resolve M012 in Data Integrity / Broker auth vs data reliability. Observed evidence: Connected session explicitly does not prove OHLC/quote/LTP health; 429/805/cache fallback possible.. WHAT: Implement authoritative marketfeed health contract.. HOW: Track request errors, 429/805, cache fallback, quote age, symbol coverage, websocket gaps and SLO.. WHERE: Broker/marketfeed backend, health endpoint, UI badges, gates.. WHEN: Phase 0-2, 1-2 weeks. Dependencies: M002, exchange calendar.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: 10-session SLO report, failure-injection artifacts, per-source telemetry.. Acceptance: Auth green cannot turn feed green; stale/fallback fails closed; SLO threshold enforced.. Run tests: 429/805, disconnect, stale cache, partial symbols, clock skew and recovery tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","10-session SLO report, failure-injection artifacts, per-source telemetry.","Auth green cannot turn feed green; stale/fallback fails closed; SLO threshold enforced.","429/805, disconnect, stale cache, partial symbols, clock skew and recovery tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M013","S07: 30cadab6 data foundation/prediction/ML proof partial","Data Integrity","Prediction validation policy mismatch","Card says target ≥5 days and rho ≥0.70; Live Gate screenshot requires validation days ≥10.","Policy consistency","CRITICAL","P0","Promotion thresholds are ambiguous.","Version one promotion policy with named threshold set.","Store policy_id/version; separate minimum technical proof from promotion policy; render exact source.","Gate registry, ML cards, docs.","Safety Governance Agent","Phase 0-1, days 1-3","M002.","You are the Safety Governance Agent. Resolve M013 in Data Integrity / Prediction validation policy mismatch. Observed evidence: Card says target ≥5 days and rho ≥0.70; Live Gate screenshot requires validation days ≥10.. WHAT: Version one promotion policy with named threshold set.. HOW: Store policy_id/version; separate minimum technical proof from promotion policy; render exact source.. WHERE: Gate registry, ML cards, docs.. WHEN: Phase 0-1, days 1-3. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Policy ADR, signed config, evaluator tests and migration notes.. Acceptance: One current policy is used everywhere; changes are versioned and audited.. Run tests: Policy upgrade/downgrade; old evaluations; missing policy; unauthorized edit tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Policy ADR, signed config, evaluator tests and migration notes.","One current policy is used everywhere; changes are versioned and audited.","Policy upgrade/downgrade; old evaluations; missing policy; unauthorized edit tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M014","S07: 30cadab6 data foundation/prediction/ML proof partial","ML Model","Missing prediction source","ML model proof says no proof-ready registry; current DOM reports NO_PREDICTION_SOURCE_FOUND and zero predictions.","Model lineage","CRITICAL","P0","No model claim can be validated.","Create immutable prediction ledger and model registry linkage.","Each prediction stores model/version, features hash, timestamp, horizon, maturity, outcome, evaluation and artifact hash.","Prediction writer, ledger DB, ML performance API, registry.","MLOps/Data Agent","Phase 1-3, 2-3 weeks","M002,M011.","You are the MLOps/Data Agent. Resolve M014 in ML Model / Missing prediction source. Observed evidence: ML model proof says no proof-ready registry; current DOM reports NO_PREDICTION_SOURCE_FOUND and zero predictions.. WHAT: Create immutable prediction ledger and model registry linkage.. HOW: Each prediction stores model/version, features hash, timestamp, horizon, maturity, outcome, evaluation and artifact hash.. WHERE: Prediction writer, ledger DB, ML performance API, registry.. WHEN: Phase 1-3, 2-3 weeks. Dependencies: M002,M011.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Ledger rows, registry artifact hashes, maturity job logs, backfill provenance, contract tests.. Acceptance: Every displayed model metric traces to matured predictions and registered artifact.. Run tests: Write/read lineage; maturity; correction; duplicate; late outcome; tamper tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Ledger rows, registry artifact hashes, maturity job logs, backfill provenance, contract tests.","Every displayed model metric traces to matured predictions and registered artifact.","Write/read lineage; maturity; correction; duplicate; late outcome; tamper tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M015","S02: e3aa445f overview loop/banner/NO_TRADE cards","Overview","No directional bias evidence","Directional Bias shows NO_TRADE / NO SIGNAL GENERATED and confidence --.","Missing evidence","HIGH","P1","Correct fail-closed state but active task cannot complete without explicit reason/action.","Add reason-coded NO_TRADE decision and required-evidence checklist.","Return decision_code, missing_evidence[], freshness, model version, gate evaluation and next evaluation time.","Decision API and Overview/Genesis cards.","Decision Engine Agent","Phase 2, week 1","M010,M014.","You are the Decision Engine Agent. Resolve M015 in Overview / No directional bias evidence. Observed evidence: Directional Bias shows NO_TRADE / NO SIGNAL GENERATED and confidence --.. WHAT: Add reason-coded NO_TRADE decision and required-evidence checklist.. HOW: Return decision_code, missing_evidence[], freshness, model version, gate evaluation and next evaluation time.. WHERE: Decision API and Overview/Genesis cards.. WHEN: Phase 2, week 1. Dependencies: M010,M014.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Decision payload, deterministic test fixture and audit row.. Acceptance: NO_TRADE is explainable and reproducible; never display blank confidence without reason.. Run tests: No model, stale data, closed market, low liquidity, failed risk gate fixtures.. Return the mandatory final-result JSON with artifact URIs and hashes.","Decision payload, deterministic test fixture and audit row.","NO_TRADE is explainable and reproducible; never display blank confidence without reason.","No model, stale data, closed market, low liquidity, failed risk gate fixtures.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M016","S03: 459a83f7 no time-series snapshot-only cards","Overview","Missing time series","Multiple cards show NO TIME-SERIES DATA - SNAPSHOT ONLY.","Analytics completeness","MEDIUM","P2","Users cannot assess trend, drawdown or freshness.","Add verified historical series or clearly disable chart affordances.","Build time-series endpoint with point timestamps/source/gaps; use empty-state CTA and retention policy.","Overview charts and historical storage.","Analytics Data Agent","Phase 3, weeks 2-3","M011,M012.","You are the Analytics Data Agent. Resolve M016 in Overview / Missing time series. Observed evidence: Multiple cards show NO TIME-SERIES DATA - SNAPSHOT ONLY.. WHAT: Add verified historical series or clearly disable chart affordances.. HOW: Build time-series endpoint with point timestamps/source/gaps; use empty-state CTA and retention policy.. WHERE: Overview charts and historical storage.. WHEN: Phase 3, weeks 2-3. Dependencies: M011,M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Series schema, coverage report, gap tests and chart screenshots.. Acceptance: Charts render only verified series; gaps shown; snapshot-only state names missing requirement.. Run tests: Empty/partial/gapped/timezone/duplicate-point tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Series schema, coverage report, gap tests and chart screenshots.","Charts render only verified series; gaps shown; snapshot-only state names missing requirement.","Empty/partial/gapped/timezone/duplicate-point tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M017","S11: f79b5c5a max drawdown missing + gates 2/7","Overview","Max drawdown missing","Max Drawdown shows -- with “Paper evidence”.","Risk evidence","HIGH","P1","Risk cannot be assessed without equity curve and drawdown.","Compute paper equity curve and drawdown from reconciled ledger.","Use ordered cash-flow/fill events; publish peak, trough, duration, recovery and costs.","PnL/reconciliation service, Performance and Overview.","Risk Analytics Agent","Phase 2-3, 1-2 weeks","M036 paper reconciliation.","You are the Risk Analytics Agent. Resolve M017 in Overview / Max drawdown missing. Observed evidence: Max Drawdown shows -- with “Paper evidence”.. WHAT: Compute paper equity curve and drawdown from reconciled ledger.. HOW: Use ordered cash-flow/fill events; publish peak, trough, duration, recovery and costs.. WHERE: PnL/reconciliation service, Performance and Overview.. WHEN: Phase 2-3, 1-2 weeks. Dependencies: M036 paper reconciliation.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Equity curve artifact, drawdown calculation, reconciliation checksum.. Acceptance: Max drawdown equals independent recomputation and is never fabricated from snapshots.. Run tests: Flat/negative/cash-flow/missing-day/duplicate-event tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Equity curve artifact, drawdown calculation, reconciliation checksum.","Max drawdown equals independent recomputation and is never fabricated from snapshots.","Flat/negative/cash-flow/missing-day/duplicate-event tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M018","S11: f79b5c5a max drawdown missing + gates 2/7","Overview","Proof gate count unexplained","Proof Gates shows 2/7 without names or evaluation timestamp.","Explainability","HIGH","P1","Aggregate hides the safety blockers.","Add compact failed-gate list and deep link.","Render evaluation_id, timestamp and top failed gate names from canonical registry.","Overview Risk Status card.","Frontend Truth Agent","Phase 1-2, week 1","M002.","You are the Frontend Truth Agent. Resolve M018 in Overview / Proof gate count unexplained. Observed evidence: Proof Gates shows 2/7 without names or evaluation timestamp.. WHAT: Add compact failed-gate list and deep link.. HOW: Render evaluation_id, timestamp and top failed gate names from canonical registry.. WHERE: Overview Risk Status card.. WHEN: Phase 1-2, week 1. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Cross-page snapshot and evaluation manifest.. Acceptance: 2/7 is clickable and exactly matches canonical ledger.. Run tests: Evaluation changes, stale result, missing evidence link tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Cross-page snapshot and evaluation manifest.","2/7 is clickable and exactly matches canonical ledger.","Evaluation changes, stale result, missing evidence link tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M019","S04: 882697e1 optional watchlist SENSEX ready RELIANCE not loaded","E2E Proof","Optional watchlist partial","SENSEX READY; RELIANCE NOT_LOADED with no reason or retry.","Coverage UX","MEDIUM","P2","Optional data gap is opaque.","Expose per-symbol load state, reason, last attempt and retry policy.","Use reason codes unsupported/no-token/rate-limit/not-requested/stale; optional must not affect required gates.","Watchlist endpoint and E2E Proof panel.","Watchlist Data Agent","Phase 2, week 1","M012.","You are the Watchlist Data Agent. Resolve M019 in E2E Proof / Optional watchlist partial. Observed evidence: SENSEX READY; RELIANCE NOT_LOADED with no reason or retry.. WHAT: Expose per-symbol load state, reason, last attempt and retry policy.. HOW: Use reason codes unsupported/no-token/rate-limit/not-requested/stale; optional must not affect required gates.. WHERE: Watchlist endpoint and E2E Proof panel.. WHEN: Phase 2, week 1. Dependencies: M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Per-symbol request logs and state fixtures.. Acceptance: NOT_LOADED always has reason and next retry; optional status cannot alter required proof.. Run tests: Unsupported symbol; 429; closed market; retry success; optional isolation tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Per-symbol request logs and state fixtures.","NOT_LOADED always has reason and next retry; optional status cannot alter required proof.","Unsupported symbol; 429; closed market; retry success; optional isolation tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M020","S01: 4a0050ea option-chain BANKEX empty + cramped header","Option Chain","BANKEX empty state","BANKEX selected: contracts 0, strikes 0, NO VERIFIED BROKER CHAIN ROWS; source string priority=dhan→status=NO_DHAN_DATA.","Data availability","HIGH","P1","User cannot tell unsupported instrument from temporary absence.","Return structured availability reason and support matrix.","Validate segment/security ID/expiry; distinguish unsupported, not subscribed, closed snapshot absent, rate limited and backend error.","Option-chain loader and empty-state UI.","Options Data Agent","Phase 1-2, week 1","M011,M012.","You are the Options Data Agent. Resolve M020 in Option Chain / BANKEX empty state. Observed evidence: BANKEX selected: contracts 0, strikes 0, NO VERIFIED BROKER CHAIN ROWS; source string priority=dhan→status=NO_DHAN_DATA.. WHAT: Return structured availability reason and support matrix.. HOW: Validate segment/security ID/expiry; distinguish unsupported, not subscribed, closed snapshot absent, rate limited and backend error.. WHERE: Option-chain loader and empty-state UI.. WHEN: Phase 1-2, week 1. Dependencies: M011,M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: BANKEX lookup trace, Dhan request/response, support matrix and UI screenshot.. Acceptance: Every empty chain has exact reason, attempted IDs, retry time and no misleading source text.. Run tests: Unsupported/security mapping/no expiry/429/empty success/stale snapshot tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","BANKEX lookup trace, Dhan request/response, support matrix and UI screenshot.","Every empty chain has exact reason, attempted IDs, retry time and no misleading source text.","Unsupported/security mapping/no expiry/429/empty success/stale snapshot tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M021","S01: 4a0050ea option-chain BANKEX empty + cramped header","Option Chain","Malformed provenance text","Banner shows source=dhan priority=dhan→status=NO_DHAN_DATA, suggesting missing/garbled priority value.","Schema/display bug","MEDIUM","P1","Provenance is unreadable and ambiguous.","Use structured provenance fields and formatter.","Define source, priority, status, snapshot_id, age, fetched_at, reason; validate enums.","Chain API schema and provenance banner.","API Contract Agent","Phase 1, days 2-4","M002.","You are the API Contract Agent. Resolve M021 in Option Chain / Malformed provenance text. Observed evidence: Banner shows source=dhan priority=dhan→status=NO_DHAN_DATA, suggesting missing/garbled priority value.. WHAT: Use structured provenance fields and formatter.. HOW: Define source, priority, status, snapshot_id, age, fetched_at, reason; validate enums.. WHERE: Chain API schema and provenance banner.. WHEN: Phase 1, days 2-4. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: JSON examples, schema validation, visual snapshots.. Acceptance: No concatenated/empty fields; all enums render human-readable labels.. Run tests: Null/unknown/long reason/timezone formatting tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","JSON examples, schema validation, visual snapshots.","No concatenated/empty fields; all enums render human-readable labels.","Null/unknown/long reason/timezone formatting tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M022","S09: b67dd492 option-chain provenance + sparse rows","Option Chain","Expired expiry options","Expiry selector includes June/July dates while runtime is August.","Reference-data filtering","HIGH","P1","Expired contracts can be selected and contaminate proof.","Filter expiries by exchange calendar and snapshot date; allow historical only in explicit replay mode.","Separate live/snapshot/replay selectors; validate expiry >= session date for current mode.","Expiry API and selector.","Options Reference Agent","Phase 1, days 3-5","M011,M043 replay.","You are the Options Reference Agent. Resolve M022 in Option Chain / Expired expiry options. Observed evidence: Expiry selector includes June/July dates while runtime is August.. WHAT: Filter expiries by exchange calendar and snapshot date; allow historical only in explicit replay mode.. HOW: Separate live/snapshot/replay selectors; validate expiry >= session date for current mode.. WHERE: Expiry API and selector.. WHEN: Phase 1, days 3-5. Dependencies: M011,M043 replay.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Expiry list fixtures for market date, historical replay and holiday.. Acceptance: Current mode shows no expired expiry; replay mode labels historical context.. Run tests: Boundary date, timezone, weekly/monthly, holiday and replay tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Expiry list fixtures for market date, historical replay and holiday.","Current mode shows no expired expiry; replay mode labels historical context.","Boundary date, timezone, weekly/monthly, holiday and replay tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
"M023","S09: b67dd492 option-chain provenance + sparse rows","Option Chain","Completeness vs usability","complete_chain=true with many zero OI/volume/LTP rows and missing bids/asks.","Quality semantics","CRITICAL","P0","Structural completeness can be misread as tradable liquidity.","Separate structural_complete, quote_complete and tradeable_contract_count.","Calculate usable rows with nonstale bid/ask, valid spread, volume/OI and price; gate strategies on usable count.","Chain normalization, quality API, UI summary and gates.","Options Quality Agent","Phase 1-2, week 1","M012.","You are the Options Quality Agent. Resolve M023 in Option Chain / Completeness vs usability. Observed evidence: complete_chain=true with many zero OI/volume/LTP rows and missing bids/asks.. WHAT: Separate structural_complete, quote_complete and tradeable_contract_count.. HOW: Calculate usable rows with nonstale bid/ask, valid spread, volume/OI and price; gate strategies on usable count.. WHERE: Chain normalization, quality API, UI summary and gates.. WHEN: Phase 1-2, week 1. Dependencies: M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Per-row quality flags, usable-count report, independent sample verification.. Acceptance: A structurally complete but illiquid chain is clearly non-tradable and cannot generate executable candidates.. Run tests: Zero rows, missing bid, crossed market, stale LTP, huge spread, partial CE/PE tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Per-row quality flags, usable-count report, independent sample verification.","A structurally complete but illiquid chain is clearly non-tradable and cannot generate executable candidates.","Zero rows, missing bid, crossed market, stale LTP, huge spread, partial CE/PE tests.","Feature-flag the change; preserve prior API/UI path for one release; rollback on schema mismatch, increased errors, stale data, failed reconciliation, or any order-authority change.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes.","OPEN"
