issue_id,priority,module,observed_evidence,proof_required,acceptance_criteria,test_cases,owner_agent,when_sequence,ai_agent_query,final_result_required
"M011","P1","Data Integrity","120,972 instrument rows fresh, but full cash/futures/history coverage NOT_PROVEN.","Coverage matrix, missing list, duplicates, schema validation and checksum.","100% required segment coverage or explicit exclusions; no silent gaps.","Missing segments, duplicate IDs, expired instruments, schema drift, corporate action tests.","Reference Data Agent","Phase 1-2, week 1","You are the Reference Data Agent. Resolve M011 in Data Integrity / Data foundation partial. Observed evidence: 120,972 instrument rows fresh, but full cash/futures/history coverage NOT_PROVEN.. WHAT: Publish segment-level coverage and reconciliation.. HOW: Count expected vs loaded by exchange/segment/instrument/expiry; sample keys; missing/duplicate report; snapshot hash.. WHERE: Instruments health API and Data Integrity.. WHEN: Phase 1-2, week 1. Dependencies: Authoritative exchange master.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Coverage matrix, missing list, duplicates, schema validation and checksum.. Acceptance: 100% required segment coverage or explicit exclusions; no silent gaps.. Run tests: Missing segments, duplicate IDs, expired instruments, schema drift, corporate action tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M012","P0","Data Integrity","Connected session explicitly does not prove OHLC/quote/LTP health; 429/805/cache fallback possible.","10-session SLO report, failure-injection artifacts, per-source telemetry.","Auth green cannot turn feed green; stale/fallback fails closed; SLO threshold enforced.","429/805, disconnect, stale cache, partial symbols, clock skew and recovery tests.","Market Data Reliability Agent","Phase 0-2, 1-2 weeks","You are the Market Data Reliability Agent. Resolve M012 in Data Integrity / Broker auth vs data reliability. Observed evidence: Connected session explicitly does not prove OHLC/quote/LTP health; 429/805/cache fallback possible.. WHAT: Implement authoritative marketfeed health contract.. HOW: Track request errors, 429/805, cache fallback, quote age, symbol coverage, websocket gaps and SLO.. WHERE: Broker/marketfeed backend, health endpoint, UI badges, gates.. WHEN: Phase 0-2, 1-2 weeks. Dependencies: M002, exchange calendar.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: 10-session SLO report, failure-injection artifacts, per-source telemetry.. Acceptance: Auth green cannot turn feed green; stale/fallback fails closed; SLO threshold enforced.. Run tests: 429/805, disconnect, stale cache, partial symbols, clock skew and recovery tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M013","P0","Data Integrity","Card says target ≥5 days and rho ≥0.70; Live Gate screenshot requires validation days ≥10.","Policy ADR, signed config, evaluator tests and migration notes.","One current policy is used everywhere; changes are versioned and audited.","Policy upgrade/downgrade; old evaluations; missing policy; unauthorized edit tests.","Safety Governance Agent","Phase 0-1, days 1-3","You are the Safety Governance Agent. Resolve M013 in Data Integrity / Prediction validation policy mismatch. Observed evidence: Card says target ≥5 days and rho ≥0.70; Live Gate screenshot requires validation days ≥10.. WHAT: Version one promotion policy with named threshold set.. HOW: Store policy_id/version; separate minimum technical proof from promotion policy; render exact source.. WHERE: Gate registry, ML cards, docs.. WHEN: Phase 0-1, days 1-3. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Policy ADR, signed config, evaluator tests and migration notes.. Acceptance: One current policy is used everywhere; changes are versioned and audited.. Run tests: Policy upgrade/downgrade; old evaluations; missing policy; unauthorized edit tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M014","P0","ML Model","ML model proof says no proof-ready registry; current DOM reports NO_PREDICTION_SOURCE_FOUND and zero predictions.","Ledger rows, registry artifact hashes, maturity job logs, backfill provenance, contract tests.","Every displayed model metric traces to matured predictions and registered artifact.","Write/read lineage; maturity; correction; duplicate; late outcome; tamper tests.","MLOps/Data Agent","Phase 1-3, 2-3 weeks","You are the MLOps/Data Agent. Resolve M014 in ML Model / Missing prediction source. Observed evidence: ML model proof says no proof-ready registry; current DOM reports NO_PREDICTION_SOURCE_FOUND and zero predictions.. WHAT: Create immutable prediction ledger and model registry linkage.. HOW: Each prediction stores model/version, features hash, timestamp, horizon, maturity, outcome, evaluation and artifact hash.. WHERE: Prediction writer, ledger DB, ML performance API, registry.. WHEN: Phase 1-3, 2-3 weeks. Dependencies: M002,M011.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Ledger rows, registry artifact hashes, maturity job logs, backfill provenance, contract tests.. Acceptance: Every displayed model metric traces to matured predictions and registered artifact.. Run tests: Write/read lineage; maturity; correction; duplicate; late outcome; tamper tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M015","P1","Overview","Directional Bias shows NO_TRADE / NO SIGNAL GENERATED and confidence --.","Decision payload, deterministic test fixture and audit row.","NO_TRADE is explainable and reproducible; never display blank confidence without reason.","No model, stale data, closed market, low liquidity, failed risk gate fixtures.","Decision Engine Agent","Phase 2, week 1","You are the Decision Engine Agent. Resolve M015 in Overview / No directional bias evidence. Observed evidence: Directional Bias shows NO_TRADE / NO SIGNAL GENERATED and confidence --.. WHAT: Add reason-coded NO_TRADE decision and required-evidence checklist.. HOW: Return decision_code, missing_evidence[], freshness, model version, gate evaluation and next evaluation time.. WHERE: Decision API and Overview/Genesis cards.. WHEN: Phase 2, week 1. Dependencies: M010,M014.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Decision payload, deterministic test fixture and audit row.. Acceptance: NO_TRADE is explainable and reproducible; never display blank confidence without reason.. Run tests: No model, stale data, closed market, low liquidity, failed risk gate fixtures.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M016","P2","Overview","Multiple cards show NO TIME-SERIES DATA - SNAPSHOT ONLY.","Series schema, coverage report, gap tests and chart screenshots.","Charts render only verified series; gaps shown; snapshot-only state names missing requirement.","Empty/partial/gapped/timezone/duplicate-point tests.","Analytics Data Agent","Phase 3, weeks 2-3","You are the Analytics Data Agent. Resolve M016 in Overview / Missing time series. Observed evidence: Multiple cards show NO TIME-SERIES DATA - SNAPSHOT ONLY.. WHAT: Add verified historical series or clearly disable chart affordances.. HOW: Build time-series endpoint with point timestamps/source/gaps; use empty-state CTA and retention policy.. WHERE: Overview charts and historical storage.. WHEN: Phase 3, weeks 2-3. Dependencies: M011,M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Series schema, coverage report, gap tests and chart screenshots.. Acceptance: Charts render only verified series; gaps shown; snapshot-only state names missing requirement.. Run tests: Empty/partial/gapped/timezone/duplicate-point tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M017","P1","Overview","Max Drawdown shows -- with “Paper evidence”.","Equity curve artifact, drawdown calculation, reconciliation checksum.","Max drawdown equals independent recomputation and is never fabricated from snapshots.","Flat/negative/cash-flow/missing-day/duplicate-event tests.","Risk Analytics Agent","Phase 2-3, 1-2 weeks","You are the Risk Analytics Agent. Resolve M017 in Overview / Max drawdown missing. Observed evidence: Max Drawdown shows -- with “Paper evidence”.. WHAT: Compute paper equity curve and drawdown from reconciled ledger.. HOW: Use ordered cash-flow/fill events; publish peak, trough, duration, recovery and costs.. WHERE: PnL/reconciliation service, Performance and Overview.. WHEN: Phase 2-3, 1-2 weeks. Dependencies: M036 paper reconciliation.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Equity curve artifact, drawdown calculation, reconciliation checksum.. Acceptance: Max drawdown equals independent recomputation and is never fabricated from snapshots.. Run tests: Flat/negative/cash-flow/missing-day/duplicate-event tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M018","P1","Overview","Proof Gates shows 2/7 without names or evaluation timestamp.","Cross-page snapshot and evaluation manifest.","2/7 is clickable and exactly matches canonical ledger.","Evaluation changes, stale result, missing evidence link tests.","Frontend Truth Agent","Phase 1-2, week 1","You are the Frontend Truth Agent. Resolve M018 in Overview / Proof gate count unexplained. Observed evidence: Proof Gates shows 2/7 without names or evaluation timestamp.. WHAT: Add compact failed-gate list and deep link.. HOW: Render evaluation_id, timestamp and top failed gate names from canonical registry.. WHERE: Overview Risk Status card.. WHEN: Phase 1-2, week 1. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Cross-page snapshot and evaluation manifest.. Acceptance: 2/7 is clickable and exactly matches canonical ledger.. Run tests: Evaluation changes, stale result, missing evidence link tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M019","P2","E2E Proof","SENSEX READY; RELIANCE NOT_LOADED with no reason or retry.","Per-symbol request logs and state fixtures.","NOT_LOADED always has reason and next retry; optional status cannot alter required proof.","Unsupported symbol; 429; closed market; retry success; optional isolation tests.","Watchlist Data Agent","Phase 2, week 1","You are the Watchlist Data Agent. Resolve M019 in E2E Proof / Optional watchlist partial. Observed evidence: SENSEX READY; RELIANCE NOT_LOADED with no reason or retry.. WHAT: Expose per-symbol load state, reason, last attempt and retry policy.. HOW: Use reason codes unsupported/no-token/rate-limit/not-requested/stale; optional must not affect required gates.. WHERE: Watchlist endpoint and E2E Proof panel.. WHEN: Phase 2, week 1. Dependencies: M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Per-symbol request logs and state fixtures.. Acceptance: NOT_LOADED always has reason and next retry; optional status cannot alter required proof.. Run tests: Unsupported symbol; 429; closed market; retry success; optional isolation tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M020","P1","Option Chain","BANKEX selected: contracts 0, strikes 0, NO VERIFIED BROKER CHAIN ROWS; source string priority=dhan→status=NO_DHAN_DATA.","BANKEX lookup trace, Dhan request/response, support matrix and UI screenshot.","Every empty chain has exact reason, attempted IDs, retry time and no misleading source text.","Unsupported/security mapping/no expiry/429/empty success/stale snapshot tests.","Options Data Agent","Phase 1-2, week 1","You are the Options Data Agent. Resolve M020 in Option Chain / BANKEX empty state. Observed evidence: BANKEX selected: contracts 0, strikes 0, NO VERIFIED BROKER CHAIN ROWS; source string priority=dhan→status=NO_DHAN_DATA.. WHAT: Return structured availability reason and support matrix.. HOW: Validate segment/security ID/expiry; distinguish unsupported, not subscribed, closed snapshot absent, rate limited and backend error.. WHERE: Option-chain loader and empty-state UI.. WHEN: Phase 1-2, week 1. Dependencies: M011,M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: BANKEX lookup trace, Dhan request/response, support matrix and UI screenshot.. Acceptance: Every empty chain has exact reason, attempted IDs, retry time and no misleading source text.. Run tests: Unsupported/security mapping/no expiry/429/empty success/stale snapshot tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M021","P1","Option Chain","Banner shows source=dhan priority=dhan→status=NO_DHAN_DATA, suggesting missing/garbled priority value.","JSON examples, schema validation, visual snapshots.","No concatenated/empty fields; all enums render human-readable labels.","Null/unknown/long reason/timezone formatting tests.","API Contract Agent","Phase 1, days 2-4","You are the API Contract Agent. Resolve M021 in Option Chain / Malformed provenance text. Observed evidence: Banner shows source=dhan priority=dhan→status=NO_DHAN_DATA, suggesting missing/garbled priority value.. WHAT: Use structured provenance fields and formatter.. HOW: Define source, priority, status, snapshot_id, age, fetched_at, reason; validate enums.. WHERE: Chain API schema and provenance banner.. WHEN: Phase 1, days 2-4. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: JSON examples, schema validation, visual snapshots.. Acceptance: No concatenated/empty fields; all enums render human-readable labels.. Run tests: Null/unknown/long reason/timezone formatting tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M022","P1","Option Chain","Expiry selector includes June/July dates while runtime is August.","Expiry list fixtures for market date, historical replay and holiday.","Current mode shows no expired expiry; replay mode labels historical context.","Boundary date, timezone, weekly/monthly, holiday and replay tests.","Options Reference Agent","Phase 1, days 3-5","You are the Options Reference Agent. Resolve M022 in Option Chain / Expired expiry options. Observed evidence: Expiry selector includes June/July dates while runtime is August.. WHAT: Filter expiries by exchange calendar and snapshot date; allow historical only in explicit replay mode.. HOW: Separate live/snapshot/replay selectors; validate expiry >= session date for current mode.. WHERE: Expiry API and selector.. WHEN: Phase 1, days 3-5. Dependencies: M011,M043 replay.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Expiry list fixtures for market date, historical replay and holiday.. Acceptance: Current mode shows no expired expiry; replay mode labels historical context.. Run tests: Boundary date, timezone, weekly/monthly, holiday and replay tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M023","P0","Option Chain","complete_chain=true with many zero OI/volume/LTP rows and missing bids/asks.","Per-row quality flags, usable-count report, independent sample verification.","A structurally complete but illiquid chain is clearly non-tradable and cannot generate executable candidates.","Zero rows, missing bid, crossed market, stale LTP, huge spread, partial CE/PE tests.","Options Quality Agent","Phase 1-2, week 1","You are the Options Quality Agent. Resolve M023 in Option Chain / Completeness vs usability. Observed evidence: complete_chain=true with many zero OI/volume/LTP rows and missing bids/asks.. WHAT: Separate structural_complete, quote_complete and tradeable_contract_count.. HOW: Calculate usable rows with nonstale bid/ask, valid spread, volume/OI and price; gate strategies on usable count.. WHERE: Chain normalization, quality API, UI summary and gates.. WHEN: Phase 1-2, week 1. Dependencies: M012.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Per-row quality flags, usable-count report, independent sample verification.. Acceptance: A structurally complete but illiquid chain is clearly non-tradable and cannot generate executable candidates.. Run tests: Zero rows, missing bid, crossed market, stale LTP, huge spread, partial CE/PE tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M024","P1","Option Chain","Rows display 0.00/0/+0 alongside --, without semantic distinction.","Raw-to-normalized samples and null-coercion tests.","Missing remains null end to end; true zero is distinguishable.","Absent key/null/empty string/zero/NaN/invalid numeric tests.","Data Quality Agent","Phase 1, days 2-5","You are the Data Quality Agent. Resolve M024 in Option Chain / Zero vs missing values. Observed evidence: Rows display 0.00/0/+0 alongside --, without semantic distinction.. WHAT: Preserve nulls and add quality flags; never coerce missing numeric fields to zero.. HOW: Schema nullable fields; formatter “N/A”; calculations exclude missing; tooltip reason.. WHERE: Chain parser, API schema and table formatter.. WHEN: Phase 1, days 2-5. Dependencies: M021.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Raw-to-normalized samples and null-coercion tests.. Acceptance: Missing remains null end to end; true zero is distinguishable.. Run tests: Absent key/null/empty string/zero/NaN/invalid numeric tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M025","P2","Option Chain","Table header has symmetric metrics but no prominent CALL/PUT group labels.","Accessibility tree and visual snapshots.","Every cell has side+metric accessible name; grouping remains visible while scrolling.","Keyboard navigation, screen reader, sticky header and narrow viewport tests.","Table UX Agent","Phase 3, week 2","You are the Table UX Agent. Resolve M025 in Option Chain / CE/PE column grouping. Observed evidence: Table header has symmetric metrics but no prominent CALL/PUT group labels.. WHAT: Add accessible grouped headers for CALLS and PUTS with sticky strike column.. HOW: Use colgroup/aria labels; clear color independent of red/green; mobile horizontal affordance.. WHERE: Option-chain table component.. WHEN: Phase 3, week 2. Dependencies: M006.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Accessibility tree and visual snapshots.. Acceptance: Every cell has side+metric accessible name; grouping remains visible while scrolling.. Run tests: Keyboard navigation, screen reader, sticky header and narrow viewport tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M026","P2","Option Chain","ALL STRIKES 244/275 renders very large tables.","Render performance trace for 244/381 strikes and preference tests.","Interactive under defined budget; no dropped rows; ATM visible by default.","244/381/1000 rows, resize, filter, restore preference and screen reader tests.","Frontend Performance Agent","Phase 3, week 2","You are the Frontend Performance Agent. Resolve M026 in Option Chain / Default all-strikes rendering. Observed evidence: ALL STRIKES 244/275 renders very large tables.. WHAT: Default to ±10 ATM, virtualize rows and preserve explicit all-strikes choice.. HOW: Use windowed list, measured rows, URL/persisted preference, jump-to-ATM.. WHERE: Option-chain table.. WHEN: Phase 3, week 2. Dependencies: M025.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Render performance trace for 244/381 strikes and preference tests.. Acceptance: Interactive under defined budget; no dropped rows; ATM visible by default.. Run tests: 244/381/1000 rows, resize, filter, restore preference and screen reader tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
