id,file,screen,observed,mapped_issue_ids,recommendation,proof_required,agent_query,final_result_required
"S11","f79b5c5a-525c-4767-8be4-e407bf71cbba","Overview risk status","Max drawdown missing, proof gates 2/7 unexplained.","M017,M018","Reconciled drawdown and clickable canonical gates.","Equity curve and evaluation manifest.","Implement M017/M018.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S12","7b4bda7c-a689-4b96-8ed0-a1e08124e850","Abnormal Activity","No catalyst/sentiment feed wired.","M030","Wire verified source or hide roadmap-only card.","Source contracts and event lineage.","Implement or explicitly defer M030 with proof.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S13","70dcfdcf-d1fd-4c2f-9bc9-457b57c69de5","Market Leaders","Duplicate SENSEX PE labels and extreme percentages.","M031,M032","Full contract identity and validated base-price ranking.","Contract mapping and gain recomputation.","Implement M031/M032.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S14","3dcb9a1d-f0ae-43ed-a75d-d7fefc70f9cf","Options Intel","Derived metrics pending, duplicated leader sections, abnormal feed absent.","M029,M030,M031,M032","Metric-specific readiness, unique identity and honest unavailable states.","Metric lineage and UI regression.","Resolve mapped Options Intel issues.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S15","e4bffe8b-6f30-42c1-8462-0ae47cf02ce0","All-India option gainers","Moneycontrol scrape failed/403, 0 rows, mixed source controls.","M036,M037,M038","Remove scraper from critical path and separate controls.","Circuit-breaker and source-isolation tests.","Implement M036-M038.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S16","b9559af0-2d99-4d12-af47-250b709fc25f","Real Candidate Evidence","100% confidence, 4400% gain and actionable levels from scanner evidence.","M032,M033,M034,M035","Demote to scanner observation; require calibrated model/liquidity/risk proof.","Schema, raw price/base, spread/cost and conditional-render tests.","Immediately resolve M032-M035 while live remains off.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S17","56323462-1b9f-4e5f-bb7c-4fb75bc9d53e","Market table headers","Sort arrows/multi-sort/persistence marked missing.","M027,M061","Stable accessible multi-column persistent sort.","Comparator tests, aria-sort and reload recording.","Implement M027/M061 in reusable TypeScript table.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S18","8e8ed3af-bb00-4333-85a4-2eecd41d3364","Paper Trading Console","0 displayed/open rows while aggregate ledger reports nine trades and realized loss.","M039,M040,M041,M048","Immutable closed-fill ledger and lifecycle proof.","Nine-trade reconciliation and fill-model version.","Implement M039-M041/M048 and return zero-variance proof.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S19","196d332f-013a-4afe-9245-653c40ac5fb3","Prediction Audit gate ledger","Accuracy report pass vs missing source; option visibility blocked vs verified chains; eligibility pass with TODO text.","M044,M045,M046,M047,M048","Canonical evidence-linked gate evaluator.","Per-gate artifacts and negative tests.","Resolve M044-M048 and independently recompute each status.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S20","f1c4a1ee-dffe-41cb-bba4-8969b1f5b229","Live Gate checklist","Human approval, validation days and rho fail; max loss hardcoded.","M013,M049,M050,M051,M052,M053,M064","Separate safety/readiness/authorization; keep live off.","Policy manifest, cohort recomputation, protected risk config and signed dossier.","Resolve mapped governance issues; do not change live flag.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
