task_id,batch_id,priority,domain,title,owner,specialist,dependencies,status,previous_commitment,acceptance_criteria,required_proof,proof_url_or_artifact,last_action,next_action,blocker,user_visible,target_window,updated_utc
RUHI-011,B001,P0,migration,Inventory local repo roots branches commits and unpushed work,Cursor,laptop/local repo,RUHI-010,OPEN,B001,"All relevant Genesis/OpenAlgo local roots and unique branches/commits identified; duplicates/stale roots classified","Sanitized inventory file in GitHub with commit IDs/paths names only","Current repo history cannot prove local-only work","Not started under durable ledger","Run git/workspace discovery across known local roots; compare to origin/main","Laptop access required",NO,current/next cycles,2026-08-20T17:55:00Z
RUHI-012,B001,P0,paper trade,Inspect historical local databases and reports for paper-trade records,Cursor,laptop/data forensic,RUHI-010,OPEN,B001,"Counts/timestamps/schema prove whether paper orders/signals/positions were generated historically","Sanitized query results/counts; no account/secret data","Current production paper-trade visibility unresolved","Not started under durable ledger","Locate DBs/reports; run read-only counts by date/path; identify last real record","Laptop access required",NO,current/next cycles,2026-08-20T17:55:00Z
RUHI-013,B001,P0,migration,Diff local-to-GitHub-to-GCP feature loss,Cursor,laptop/migration,RUHI-011|RUHI-012,OPEN,B001,"Lost/changed paper/UI/scheduler/data features mapped to exact files/commits and remediation tasks","Diff report + task IDs + current production correlation","GCP is authoritative now but origin was local","Not started under durable ledger","Build migration delta report; separate obsolete Render logic from lost required behavior","Needs local inventory",NO,after RUHI-011/012,2026-08-20T17:55:00Z
RUHI-014,B001,P0,paper trade,Trace live market-data to scanner ranker signal and paper-order path,Claude,forensic,RUHI-005|RUHI-010,OPEN,B001,"Exact first failing edge in end-to-end paper pipeline identified with source/test evidence","Source trace + runtime/API/DB evidence; independent Cursor correlation where needed","Paper trade missing is long-lived","Claude has current repo forensic capability but not laptop/browser","Trace current main pipeline and create micro-handoff for runtime/laptop checks","Needs live/session correlation",YES,next market session,2026-08-20T17:55:00Z
RUHI-015,B001,P0,paper trade,Prove paper persistence on current authoritative path,Cursor,runtime/data,RUHI-014,OPEN,B001,"A market-session paper candidate creates a persisted analyzer/paper record or a precise fail-closed reason","DB query proof + API correlation + zero-live-order proof","No current durable production paper-row proof","Pending root-cause trace","Instrument/read current persistence path; record counts before/after without placing live orders","Depends on real market pipeline",YES,next market session,2026-08-20T17:55:00Z
RUHI-016,B001,P0,paper trade,Prove paper-trade row appears on production dashboard,Cursor,UI/browser,RUHI-015,OPEN,B001,"Persisted paper record is visible in correct production dashboard tab with timestamp/symbol/status/P&L fields","Production URL screenshot/browser artifact on exact serving SHA","User reports paper trade still not visible","Pending persistence proof","Capture UI row and correlate its record ID/time to backend persistence","Depends on RUHI-015",YES,next market session,2026-08-20T17:55:00Z
RUHI-017,B001,P0,market data,Prove supported NSE/BSE equity and option-chain dashboard coverage,Cursor,UI/market data,RUHI-005|RUHI-008,OPEN,B001,"Supported-universe counts and representative equity/index option chains match backend and render in UI; missing coverage explicit","Broker master vs API vs browser UI count matrix","Issue #188 requires full supported universe not small hard-coded subset","Current issue remains open","Capture counts and samples; convert each missing symbol/expiry/strike into ledger defect","None",YES,next market session,2026-08-20T17:55:00Z
RUHI-018,B001,P0,freshness,Fix and prove true chain-age/freshness semantics RC-4,Cursor,backend/UI,RUHI-005,OPEN,B001,"Displayed/report age tracks source snapshot truth and cannot under-report stale data","Unit test + API evidence + UI source/freshness timestamp on exact serving SHA","Claude reports 44x-1117x age under-report on four chains","Open; Cursor previously nominated owner","Claim exact files; implement; cross-check with Claude; browser prove","Needs current code ownership check",YES,next market session,2026-08-20T17:55:00Z
RUHI-019,B001,P1,health,Fix and prove broker-connected QC false-green RC-2,ChatGPT,controller/code,RUHI-005,OPEN,B001,"/api/health cannot report QC PASS merely because broker is connected; it reflects SSOT QC state","PR/tests + live API + dashboard health indication if exposed","Claude reports branch-specific false PASS confidence high","Claude patch 0007 claimed but not landed on main","Inspect current main for overlap; land/adapt smallest fix; verify after reconnect","Need current-main overlap check",YES,after broker reconnect,2026-08-20T17:55:00Z
RUHI-020,B001,P1,observability,Fix/prune stale disabled-path fossil proof objects RC-3/T11,Claude,forensic/code,RUHI-019,OPEN,B001,"Disabled/stale proof objects cannot masquerade as current runtime evidence","Patch/tests + API/UI evidence on exact serving SHA","Claude patch 0010b claimed but depends on 0005","Patch exists only in Claude workspace/mail claim","Rebase/check current main; hand off exact patch content to push-capable owner; verify no overlap","Claude lacks push; patch dependency/overlap unresolved",YES,after current-main review,2026-08-20T17:55:00Z
RUHI-021,B002,P0,control-plane,Name scheduler-health transport vs predicate failures on current main,Cursor,GCP/CI,RUHI-004,DONE,B002,"Opaque jq replaced by fail-closed named gate; existing predicates unchanged; always-upload sanitized report","PR + focused tests + exact-head CI + next deploy names failure instead of silent jq","PR #318 named gate + post-#321 GET /api/scheduler/health?refresh=true 2026-08-22T11:59:10Z healthy=true alert_severity=none contract_matched=true on serving SHA 431bbccac","Deploy 32571338431 step 12 SUCCESS; same-session health no longer fails schedule/alert predicates","Keep named gate; do not blind-rerun deploy; leftover identity-safety 30* is a later non-overlap lane","None for this task; weekend business_readiness=PARTIAL is closed-market honesty not a gate rename defect",NO,completed,2026-08-22T11:59:10Z
RUHI-022,B002,P0,control-plane,Reconcile rotate-daily contract to live */5 trigger cadence,Cursor,control-plane,RUHI-021,DONE,B002,"Code EXPECTED_SCHEDULER_CONTRACT rotate-daily is */5 * * * * Asia/Kolkata; live Scheduler unchanged; remint cooldown unchanged; LIVE/orders/IAM unchanged","Issue #188 comment 5379803395 + exact-head CI + merge + later deploy health no longer fails on schedule mismatch","PR #321 merged 2026-08-22T11:49:53Z as 431bbccac48e5536b8c5bc5eb09863e0a9419b16; GET /api/deploy/info + /api/scheduler/health?refresh=true 11:59:07Z/11:59:10Z serving SHA match healthy=true rotate-daily */5 Asia/Kolkata","Merged #321; deploy 32571338431 step 12 SUCCESS; same-session health PROVEN; identity-safety 30* not inspected because health passed","Catalyst Phase-0 inventory; leftover scripts/gcp_runtime_identity_safety.py EXPECTED_SCHEDULE=30 is later non-overlap lane","None",NO,completed,2026-08-22T11:59:10Z
CATALYST-P0,CATALYST,P1,catalyst,Phase-0 read-only source capability inventory CSV,Cursor,inventory,RUHI-022,IN_PROGRESS,PR #324 docs,"reports/coordination/catalyst_source_capability_matrix.csv on a branch from current main with real repo/GCP proof only; no runtime Catalyst code","CSV with plan columns + classification EXISTS_* / DUPLICATE / MISSING / UNKNOWN; eval tests/evals/test_catalyst_phase0_inventory.py","Same-session RUHI-022 health proof 2026-08-22T11:59:10Z + repo path inventory; news/SEBI/RBI/BSE MISSING; Dhan official WS EXISTS_BROKEN","Wrote matrix after #321 health PROVEN; did not probe Dhan REST/chain this session; did not edit PR #324 path-index","Merge inventory; Phase-1 source smoke only after matrix is on main; no NSE scrape; no runtime Catalyst","None; weekend CLOSED so observed_latency/freshness stay NOT_PROBED",NO,current cycle,2026-08-22T12:05:00Z
RUHI-023,B003,P0,rhui,RHUI V2.2 acceptance — material change gate board,Cursor,controller/GCP,RUHI-004,OPEN,B002,Overall RHUI ACCEPTED only when G7/G8/G10 green,Gate board CSV + exact serving proofs,reports/coordination/RHUI_V2.2_GATE_BOARD.csv,Multi-verify market open; broker+4/4 PASS; scheduler FAIL attributed,Observe 18:45 #367; semantic session,scheduler signals stale,YES,2026-08-26 market+18:45 IST,2026-08-26T06:28:31Z
RUHI-024,B003,P0,signals,Prove #367 BhavCopy retry on genuine signals schedule,Cursor,GCP/signals,RUHI-023,OPEN,B003,Signals job succeeds with retries if needed; new prediction evidence,Cloud Run job logs + prediction artifact,pending 18:45 IST,Code on fb4772f9 serving,Capture first post-#367 execution,scheduled window,YES,2026-08-26 18:45-19:15 IST,2026-08-26T06:28:31Z
RUHI-025,B003,P0,scheduler,Clear observability.alert_severity_none after signals cadence restore,Cursor,GCP/CI,RUHI-024,OPEN,B003,scheduler healthy + alert_severity=none with attributed workload green,/api/scheduler/health evidence,api_scheduler_health.json warning attributed,Attributed to genesis-system3-signals stale,Re-verify after successful signals run,signals stale,NO,after RUHI-024,2026-08-26T06:28:31Z
RUHI-026,B003,P0,UI proof,Semantic 22-tab API↔UI on exact serving SHA,Cursor,UI/browser,RUHI-023|RUHI-005,OPEN,B003,Each tab values/freshness/waiting agree with APIs,semantic_diff_report.json + screenshots,visual 22/22 only so far,Deploy visual PASS recorded,Run semantic continuous session,semantic not proven,YES,next continuous market session,2026-08-26T06:28:31Z
