source_id,category,provider,free_or_paid,present_in_repo,repo_paths,present_in_gcp,access_method,requires_secret,live_or_delayed,expected_cadence,observed_latency_ms,observed_freshness_s,coverage,historical_depth,rate_limit,failure_mode,fallback_provider,trust_tier,legal_notes,prediction_use,smoke_result,proof_artifact,owner,status,next_action
nse_bhavcopy_jugaad_leftover,provider_fallback_cache,NSE_unofficial,free_unofficial,YES_LEFTOVER,core/data/datasource_manager.py:_try_bhavcopy|_try_jugaad|_try_nsepython|scripts/bhavcopy_downloader.py|core/engine/system3_scheduler_catchup.py,NO,legacy scrape/file helpers still in tree,NO,delayed,n/a,NOT_PROBED,NOT_PROBED,unknown_if_wired,n/a,CAPTCHA_block_risk,blocked_or_empty,dhan,T3_retired,nse_provider.py and datasource_manager headers say scrape removed; leftover methods remain,do_not_use_for_catalyst,REPO_LEFTOVER_NOT_SMOKED,datasource_manager.py header vs leftover _try_* methods,Cursor,EXISTS_UNUSED,Do not call in Phase-1; legal/CAPTCHA risk
option_chain_cache_governor,provider_fallback_cache,System3,internal,YES,core/data/datasource_manager.py:_pace_dhan_option_chain_call|core/brokers/dhan/market_ltp.py:_MARKETFEED_CACHE,YES_IN_SERVING_CODE,in_process lock/cache/cooldown,NO,n/a,ttl_8s_oc_gap_3.4s,NOT_PROBED,NOT_PROBED,process_local_only,none,self_imposed,stale_cache_or_cooldown_empty,none,T2_runtime_governor,Internal; does not create new market data,protects_broker,REPO_PRESENT,market_ltp.py cache TTL + datasource_manager OC lock,Cursor,EXISTS_WORKING,Phase-1 measure cache hit vs 429; do not remove governor
dhan_market_warmup_scanner,scanners_rankers,Dhan,paid_broker,YES,core/engine/dhan_market_warmup_scanner.py,NOT_PROBED_THIS_SESSION,python scanner over Dhan,YES_DHAN_TOKEN,live_when_market_open,session_open,NOT_PROBED,NOT_PROBED,warmup_scan,none,unknown,empty_when_closed,none,T2_internal_scan,Read-only,session_readiness,NOT_PROBED,core/engine/dhan_market_warmup_scanner.py,Cursor,EXISTS_WORKING,Phase-1 only in market hours
dhan_feature_ranker,scanners_rankers,System3,internal,YES,core/engine/dhan_feature_ranker.py,NOT_PROBED_THIS_SESSION,offline training CSV rank,NO,delayed,on_train,NOT_PROBED,NOT_PROBED,index_options_features,storage/training/dhan_index_options_training.csv,n/a,empty_if_training_csv_missing,none,T2_offline_ml,Internal research; not live catalyst,feature_selection,REPO_PRESENT_DATA_UNKNOWN,dhan_feature_ranker.py TRAINING_CSV,Cursor,EXISTS_UNUSED,Confirm whether training CSV exists in GCP before reuse
contract_gainer_scanner,scanners_rankers,Dhan,paid_broker,YES,dashboard/backend/app.py:get_top_contract_gainers|/api/gain_rank,NOT_PROBED_THIS_SESSION,async scanner + history file,YES_DHAN_TOKEN,live_when_market_open,on_stale_gain_rank,NOT_PROBED,NOT_PROBED,top_n_8_market_top_25_equity_off_in_fallback,file_history,8s_timeout_include_equity=false,stale_file_or_timeout,gain_rank_history_file,T2_scanner,Read-only,signals_trade_fallback,NOT_PROBED,app.py get_gain_rank stale fallback,Cursor,EXISTS_WORKING,Phase-1 prove table vs empty weekend honesty
gcp_rank_daily_job,scanners_rankers,GCP_Cloud_Scheduler,internal,YES,dashboard/backend/scheduler_contract.py:genesis-system3-rank-daily,YES,Cloud Scheduler 45 3 * * MON-FRI UTC -> genesis-system3-rank,YES_GCP_SA,delayed_batch,weekday_only,NOT_PROBED,STALE_WEEKEND_WRONG_DATE,rank_artifact,batch,n/a,wrong_date_weekend,none,T2_batch,Internal job,rank_artifact,WEEKEND_PARTIAL_wrong_date,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json,Cursor,EXISTS_WORKING,Treat weekend wrong-date as CLOSED not broken; next weekday artifact
gcp_forecast_daily_job,prediction_models,GCP_Cloud_Scheduler,internal,YES,dashboard/backend/scheduler_contract.py:genesis-system3-forecast-daily,YES,Cloud Scheduler 0 4 * * MON-FRI UTC -> genesis-system3-forecast,YES_GCP_SA,delayed_batch,weekday_only,NOT_PROBED,STALE_WEEKEND_WRONG_DATE,forecast_artifact,batch,n/a,wrong_date_weekend,none,T2_batch,Internal job,forecast_artifact,WEEKEND_PARTIAL_wrong_date,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json,Cursor,EXISTS_WORKING,Same as rank: weekday recapture before Phase-1 prediction smoke
gcp_signals_daily_job,prediction_models,GCP_Cloud_Scheduler,internal,YES,dashboard/backend/scheduler_contract.py:genesis-system3-signals-daily,YES,Cloud Scheduler 15 13 * * MON-FRI UTC -> genesis-system3-signals,YES_GCP_SA,delayed_batch,weekday_only,NOT_PROBED,STALE_WEEKEND_WRONG_DATE,signals_artifact,batch,n/a,wrong_date_weekend,none,T2_batch,Internal job,signals_artifact,WEEKEND_PARTIAL_wrong_date,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json,Cursor,EXISTS_WORKING,Same weekend honesty
gcp_validate_daily_job,prediction_models,GCP_Cloud_Scheduler,internal,YES,dashboard/backend/scheduler_contract.py:genesis-system3-validate-daily,YES,Cloud Scheduler 5 10 * * MON-FRI UTC -> genesis-system3-validate,YES_GCP_SA,delayed_batch,weekday_only,NOT_PROBED,NOT_PROBED,validate_artifact,batch,n/a,unknown,none,T2_batch,Internal job,validation,GCP_JOB_PRESENT_artifact_not_dated_in_health,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json,Cursor,EXISTS_WORKING,Read validate artifact date in Phase-1
gcp_collector_every_minute,backend_apis_store_ui,GCP_Cloud_Scheduler,internal,YES,dashboard/backend/scheduler_contract.py:genesis-system3-scheduler-collector-every-minute,YES,Cloud Scheduler every minute,YES_GCP_SA,near_real_time_internal,1m,NOT_PROBED,NOT_PROBED,scheduler_evidence,rolling,n/a,unknown,none,T2_control_plane,Internal,control_plane,GCP_JOB_PRESENT_healthy_true,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json,Cursor,EXISTS_WORKING,Not a catalyst source; keep as evidence collector
gcp_dhan_token_rotate_daily,backend_apis_store_ui,GCP_Cloud_Scheduler,internal,YES,dashboard/backend/scheduler_contract.py:genesis-system3-dhan-token-rotate-daily,YES,Cloud Scheduler */5 * * * * Asia/Kolkata,YES_BOUNDED_JOB,token_not_market_data,every_5m,NOT_PROBED,n/a,token_only,n/a,remint_cooldown_unchanged,auth_fail_DH-906,none,T1_token_authority,Do not mint outside this job,enables_all_dhan_reads,HEALTHY_contract_matched_*/5,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json,Cursor,EXISTS_WORKING,RUHI-022 DONE; leftover scripts/gcp_runtime_identity_safety.py 30* is later lane
prediction_api_all,prediction_models,System3,internal,YES,dashboard/backend/app.py:/api/prediction/all|/api/ml/predictions|/api/ml/performance|/api/ml/compare|dashboard/backend/routers/ml.py,NOT_PROBED_THIS_SESSION,HTTP GET on serving app,NO,delayed_batch,on_artifact,NOT_PROBED,NOT_PROBED,model_outputs_not_catalyst,artifact,n/a,empty_or_stale,none,T2_internal_model,Internal; not news,prediction_ui,NOT_PROBED,app.py prediction/ml routes,Cursor,EXISTS_WORKING,Phase-1 read APIs; do not invent accuracy
paper_pipeline_api,backend_apis_store_ui,System3,internal,YES,dashboard/backend/app.py:/api/paper|/api/paper/tick|/api/paper/pipeline/status|dashboard/backend/routers/trading.py,NOT_PROBED_THIS_SESSION,HTTP GET/POST paper-only,NO,analyzer_paper,on_tick,NOT_PROBED,NOT_PROBED,paper_not_live_orders,n/a,n/a,no_row,none,T2_paper,LIVE=false; no real orders,paper_visibility,NOT_PROBED,app.py paper routes,Cursor,EXISTS_WORKING,Separate RUHI paper lane; not Catalyst Phase-0
multibagger_research,multibagger_inputs,System3,internal,YES,dashboard/backend/app.py:/api/research/multibagger|dashboard/frontend/src/components/workspaces/MultibaggerResearch.tsx|dashboard/frontend/src/hooks/useData.ts,NOT_PROBED_THIS_SESSION,state_store.multibagger_research contract,NO,delayed_research,on_validated_scan,NOT_PROBED,NOT_PROBED,pending_by_default_empty_honest,n/a,n/a,pending_no_candidates,none,T2_research_contract,Does not invent candidates,research_board,REPO_PRESENT_payload_not_probed,app.py get_multibagger_research + MultibaggerResearch.tsx empty state,Cursor,EXISTS_WORKING,Phase-1 GET /api/research/multibagger; empty pending is honest
pcr_local_sentiment,news_sentiment_event,System3_derived,internal,YES,src/selector/strategy_engine.py:analyze_sentiment,NO_NOT_NEWS,derived from PCR/spot/df only,NO,delayed_derived,on_chain,NOT_PROBED,NOT_PROBED,option_pcr_not_news,none,n/a,NEUTRAL_low_liquidity,none,T3_derived_not_catalyst,Not a news/event feed; do not label as catalyst,strategy_engine_only,REPO_DERIVED_NOT_NEWS,strategy_engine.py analyze_sentiment,Cursor,EXISTS_UNUSED,Do not reuse as Catalyst news; keep as options microstructure only
options_intel_abnormal_activity,news_sentiment_event,none,n/a,YES_UI_HONEST_EMPTY,dashboard/frontend/src/components/workspaces/OptionsIntelligence.tsx,YES_UI_CODE,UI PENDINGState only,NO,n/a,n/a,n/a,n/a,none,none,n/a,NO_CATALYST_FEED,none,T0_missing,Correctly refuses to invent unusual activity,none,UI_HONEST_MISSING_FEED,OptionsIntelligence.tsx NO CATALYST FEED copy,Cursor,MISSING,Phase-1+ only after official sources pass smoke
sebi_filings_feed,news_sentiment_event,SEBI,free_official,NO,MISSING,NO,none,n/a,n/a,n/a,NOT_PROBED,NOT_PROBED,none,none,n/a,source_absent,none,T0_missing,Need official SEBI terms before any ingest,catalyst_early_warning,MISSING_NO_CODE,Issue #188 comment 5380044069 + PR #324 plan,unassigned,MISSING,Do not scrape; design official adapter only after Phase-1 source pick
rbi_policy_feed,news_sentiment_event,RBI,free_official,NO,MISSING,NO,none,n/a,n/a,n/a,NOT_PROBED,NOT_PROBED,none,none,n/a,source_absent,none,T0_missing,Need official RBI terms,macro_catalyst,MISSING_NO_CODE,PR #324 plan inventory cover,unassigned,MISSING,Same: no unofficial scrape
bse_exchange_notices,news_sentiment_event,BSE,free_official,NO,MISSING,NO,none,n/a,n/a,n/a,NOT_PROBED,NOT_PROBED,none,none,n/a,source_absent,none,T0_missing,Need official BSE terms,corp_action_catalyst,MISSING_NO_CODE,PR #324 plan inventory cover,unassigned,MISSING,Same: no unofficial scrape
paid_news_vendor,news_sentiment_event,unknown_vendor,paid_unknown,NO,MISSING,NO,none,n/a,n/a,n/a,NOT_PROBED,NOT_PROBED,none,none,n/a,source_absent,none,T0_missing,No vendor contract in repo,optional_later,MISSING_NO_CODE,PR #324 reserve-for-subscription note,unassigned,MISSING,Do not add paid adapter in Phase-0/1
frontend_store_chain_consumer,backend_apis_store_ui,System3,internal,YES,dashboard/frontend/src/hooks/useData.ts|/api/chain/{sym}|dashboard/frontend/src/components/OptionChain.tsx|ChainAnalytics.tsx|TradeTab.tsx,NOT_PROBED_THIS_SESSION,HTTP poll of /api/chain,NO,follows_backend,ui_poll,NOT_PROBED,NOT_PROBED,selected_underlyings,none,12s-20s_client_timeout,API_ERROR,none,T2_ui,Render only; not a data source,display,NOT_PROBED,useData.ts fetchJSON /api/chain,Cursor,EXISTS_WORKING,UI-closure proof is a later RUHI lane not this PR
duplicate_option_chain_entrypoints,option_chains,Dhan,paid_broker,YES,core/data/datasource_manager.py|core/data/nse_provider.py|src/dhan/live_chain_rest.py|scripts/run_live_chain.py,PARTIAL_PRIMARY_ONLY,multiple call sites; only datasource_manager is intended,YES_IF_PRIMARY,n/a,n/a,n/a,n/a,same_underlying_risk,n/a,stampede_if_all_called,empty_NO_DHAN_DATA,primary=datasource_manager,T2_overlap,Duplicates increase 429 risk,do_not_fanout,REPO_OVERLAP,this matrix rows dhan_sdk_option_chain vs shims,Cursor,DUPLICATE,Phase-1 document single write/read lane; do not add a third fetcher
prediction_world_class_policy,prediction_models,System3_policy,n/a,YES,docs/project_control/PREDICTION_WORLD_CLASS_BENCHMARK_POLICY.md,n/a,policy only,NO,n/a,n/a,n/a,n/a,governance,n/a,n/a,n/a,n/a,T0_policy,No live trading change,gate_before_model_add,POLICY_ONLY,PREDICTION_WORLD_CLASS_BENCHMARK_POLICY.md,ChatGPT_policy,EXISTS_WORKING,Any later Catalyst feature must pass this policy; no model code in this PR
