"Tab (Issues / PullRequests / Actions)","ItemID / Title","Status (Open / Closed / Failed / Passed)","RootCause","ResolutionStep","VerificationProof","ImprovementPotential"
"Issues","#157 / P0 forensic closure: FINNIFTY/MIDCPNIFTY chain and scanner readiness","Closed","labels=none; issue narrative requires authoritative boundary verification","Preserve closure proof and watch for recurrence","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-13T00:52:43Z; https://github.com/psw2025-cmd/Genesis_System3/issues/157","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#153 / P0 forensic closure: SafetyTruth + ExecutionEligibility end-to-end","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-12T22:52:26Z; https://github.com/psw2025-cmd/Genesis_System3/issues/153","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#79 / Fix Paper Trading Console UI truth-state and mobile layout issues","Open","STALE_OPEN_48.3_DAYS; labels=none; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-07-07T05:44:12Z; https://github.com/psw2025-cmd/Genesis_System3/issues/79","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#72 / MOBILE-ONLY: Full dashboard production-grade UI verification and hotfix","Open","STALE_OPEN_49.28_DAYS; labels=dashboard,mobile,ui,production-fix; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-07-06T06:04:01Z; https://github.com/psw2025-cmd/Genesis_System3/issues/72","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#22 / System3 continuous work queue and blocker tracker","Closed","labels=proof-first,system3,automation; issue narrative requires authoritative boundary verification","Preserve closure proof and watch for recurrence","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-26T19:02:06Z; https://github.com/psw2025-cmd/Genesis_System3/issues/22","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#44 / P0: Render dashboard shows raw Vue template tokens and Dhan token refresh needs cloud cooldown","Open","STALE_OPEN_60.22_DAYS; labels=P0,render,dashboard,token-refresh,production-hardening; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-25T07:27:35Z; https://github.com/psw2025-cmd/Genesis_System3/issues/44","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#28 / Create repo authority and proof-first cleanup pack","Open","STALE_OPEN_73.09_DAYS; labels=none; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-12T10:47:01Z; https://github.com/psw2025-cmd/Genesis_System3/issues/28","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#25 / System3 master readiness roadmap: paper/analyzer proof gates","Open","STALE_OPEN_77.2_DAYS; labels=none; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-08T08:07:39Z; https://github.com/psw2025-cmd/Genesis_System3/issues/25","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#24 / Dashboard proof is incomplete: fix blockers and publish browser/API smoke proof","Open","STALE_OPEN_77.2_DAYS; labels=none; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-08T08:01:09Z; https://github.com/psw2025-cmd/Genesis_System3/issues/24","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#27 / Create paper/analyzer lifecycle PnL reconciliation proof","Open","STALE_OPEN_77.2_DAYS; labels=none; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-08T08:00:55Z; https://github.com/psw2025-cmd/Genesis_System3/issues/27","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#26 / Create daily prediction-vs-actual and top-mover benchmark proof","Open","STALE_OPEN_77.2_DAYS; labels=none; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-08T08:00:36Z; https://github.com/psw2025-cmd/Genesis_System3/issues/26","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#21 / Live trading readiness gate: broker API, safety, and proof requirements","Open","STALE_OPEN_78.67_DAYS; labels=live-trading,safety,readiness,broker-api; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-06-06T20:41:20Z; https://github.com/psw2025-cmd/Genesis_System3/issues/21","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#2 / Architecture-first stabilization: live-data paper trading proof","Open","STALE_OPEN_87.2_DAYS; labels=architecture,paper-trading,proof-first; detailed product RCA remains issue-owned","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-05-29T08:00:13Z; https://github.com/psw2025-cmd/Genesis_System3/issues/2","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"PullRequests","#347 / feat(control-plane): add drive-to-cloud MRI inventory","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=420029d90cc5fb2bd135a1c203c94451f2b18e6a; updated=2026-08-24T12:35:33Z; https://github.com/psw2025-cmd/Genesis_System3/pull/347","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#336 / docs(coordination): add Perplexity independent forensic controller handoff","Open","Draft PR; mergeable_state=blocked; exact-head readiness not asserted","Finish bounded scope, update tests/evidence, mark ready, then verify mandatory checks","captured=2026-08-24T12:48:16.508513+00:00; head=24ec731ab9f302d9c03638f3642417184f1a5417; updated=2026-08-24T07:19:20Z; https://github.com/psw2025-cmd/Genesis_System3/pull/336","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#335 / test(ui): preserve one hydrated document across semantic tab proof","Open","Draft PR; mergeable_state=blocked; exact-head readiness not asserted","Finish bounded scope, update tests/evidence, mark ready, then verify mandatory checks","captured=2026-08-24T12:48:16.508513+00:00; head=7e91b72157e34d52738b1b15c8552d362cfa219e; updated=2026-08-24T12:03:23Z; https://github.com/psw2025-cmd/Genesis_System3/pull/335","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#330 / fix(deploy): retire Render.com; GCP Cloud Run is the only production host","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=479f2029421a5fbc044cdca35f7a3aa09843658d; updated=2026-08-24T07:18:42Z; https://github.com/psw2025-cmd/Genesis_System3/pull/330","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#324 / docs(catalyst): add Catalyst Early Warning Intelligence implementation authority","Open","Draft PR; mergeable_state=blocked; exact-head readiness not asserted","Finish bounded scope, update tests/evidence, mark ready, then verify mandatory checks","captured=2026-08-24T12:48:16.508513+00:00; head=92c29464e4f6e9ea5f6e636e514a858879051eaa; updated=2026-08-22T11:42:27Z; https://github.com/psw2025-cmd/Genesis_System3/pull/324","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#323 / docs(ruhi): lock Cursor permanent UI-closure rule","Open","Draft PR; mergeable_state=blocked; exact-head readiness not asserted","Finish bounded scope, update tests/evidence, mark ready, then verify mandatory checks","captured=2026-08-24T12:48:16.508513+00:00; head=0cb4812f46e073ff53f9f67638a3a777d9ca5434; updated=2026-08-22T11:01:51Z; https://github.com/psw2025-cmd/Genesis_System3/pull/323","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#317 / docs(cursor): enforce multi-agent coordination and proof contract","Open","Draft PR; mergeable_state=blocked; exact-head readiness not asserted","Finish bounded scope, update tests/evidence, mark ready, then verify mandatory checks","captured=2026-08-24T12:48:16.508513+00:00; head=43e6a478adb5520c4821a033a689ebba8013cf17; updated=2026-08-22T13:34:51Z; https://github.com/psw2025-cmd/Genesis_System3/pull/317","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#315 / docs: add permanent central multi-agent coordination ledger","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=e32cab1594c944f873f1fb63b92b8037c82886cb; updated=2026-08-22T00:54:38Z; https://github.com/psw2025-cmd/Genesis_System3/pull/315","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#314 / chore(env): Cloud Agent dev environment setup for the System3 dashboard","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=88a327126aacba5f8e223215cf37c41ee7b2cb98; updated=2026-08-22T00:05:51Z; https://github.com/psw2025-cmd/Genesis_System3/pull/314","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#304 / docs: add Codex CLI RUHI execution guide","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=9aff2f0135a5ed01758e782981909103105ecc8f; updated=2026-08-21T08:48:27Z; https://github.com/psw2025-cmd/Genesis_System3/pull/304","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#291 / feat(cleanup): exact-digest GitHub Actions storage evidence","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=8d1beeb4205b186729f6be2310ed6a5785a3e5be; updated=2026-08-18T22:11:58Z; https://github.com/psw2025-cmd/Genesis_System3/pull/291","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#286 / test(control-plane): add fail-closed scheduler-health diagnostic gate","Failed","Merge conflict at head=dca324be1e8d599c36e31cf2a8d672fd58f1c0af base=a285288f099b153359cbfdd2eaf8adb1b058c9e8","Rebuild/rebase from current main without overwriting newer ownership; rerun exact-head checks","captured=2026-08-24T12:48:16.508513+00:00; head=dca324be1e8d599c36e31cf2a8d672fd58f1c0af; updated=2026-08-19T04:28:05Z; https://github.com/psw2025-cmd/Genesis_System3/pull/286","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#279 / docs(chatgpt): current live handoff + Cursor instruction slot","Failed","Merge conflict at head=ace32b70bcd5852acedaa1128c0e6da8d042b587 base=cabc8eb1217464a0871e06b1a209adbfe6eae032","Rebuild/rebase from current main without overwriting newer ownership; rerun exact-head checks","captured=2026-08-24T12:48:16.508513+00:00; head=ace32b70bcd5852acedaa1128c0e6da8d042b587; updated=2026-08-18T05:01:01Z; https://github.com/psw2025-cmd/Genesis_System3/pull/279","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#262 / chore(deps): bump actions/checkout from 4 to 7","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=55b34aa178ba33fe059985c0b3f2537fc56ed8b7; updated=2026-08-22T07:27:15Z; https://github.com/psw2025-cmd/Genesis_System3/pull/262","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#261 / chore(deps): bump actions/upload-artifact from 4 to 7","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=8076dd03acb81b03d2fc9a038cb27192122e48e8; updated=2026-08-23T08:58:43Z; https://github.com/psw2025-cmd/Genesis_System3/pull/261","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#260 / chore(deps): bump @radix-ui/react-dropdown-menu from 2.1.18 to 2.1.24 in /dashboard/frontend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=8cac85a16fc92767473171e1128642b58aaaf98f; updated=2026-08-16T21:04:09Z; https://github.com/psw2025-cmd/Genesis_System3/pull/260","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#242 / docs(audit): full cloud+UI forensic package 20260816T062501Z","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=67696e69f370519c5678e254929fb766051a7040; updated=2026-08-16T08:06:09Z; https://github.com/psw2025-cmd/Genesis_System3/pull/242","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#217 / security: keep Vite Dependabot updates on compatible remediation major","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=bf0641a64068eb8c9951c0d4acb8a2cc58e3bab6; updated=2026-08-14T17:36:59Z; https://github.com/psw2025-cmd/Genesis_System3/pull/217","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#215 / build(deps): update statsmodels requirement from >=0.14.2 to >=0.14.6","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=bf42ebf5dd12482cd581b505d6cf1ed528a03912; updated=2026-08-14T17:20:41Z; https://github.com/psw2025-cmd/Genesis_System3/pull/215","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#214 / build(deps): bump pyotp from 2.9.0 to 2.10.0","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=157e2e6b84f8c89db46319a892c969f796bb7231; updated=2026-08-14T17:20:37Z; https://github.com/psw2025-cmd/Genesis_System3/pull/214","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#213 / build(deps): bump yamllint from 1.35.1 to 1.38.0","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=dc1fa17d3a712932c63b099ac77f0f211103ab22; updated=2026-08-14T17:20:33Z; https://github.com/psw2025-cmd/Genesis_System3/pull/213","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#212 / build(deps): update jugaad-data requirement from >=0.31.1 to >=0.35.2","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=28bfdf7d04ac49e8a318496463d76c4277a2cc50; updated=2026-08-14T17:15:44Z; https://github.com/psw2025-cmd/Genesis_System3/pull/212","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#211 / build(deps): update yfinance requirement from >=0.2.38 to >=1.5.2","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=f2e2982b01641fab2027b5309b4cbf6e4b66c7df; updated=2026-08-14T17:14:54Z; https://github.com/psw2025-cmd/Genesis_System3/pull/211","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#209 / build(deps): bump SonarSource/sonarqube-scan-action from 7 to 8","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=c305cfd6cc67fe5ea62f45a9a60bb92fb83e2214; updated=2026-08-14T16:49:24Z; https://github.com/psw2025-cmd/Genesis_System3/pull/209","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#208 / chore(deps): bump actions/setup-python from 5 to 7","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=960a5433e3b21f415be0321d68d8028799e05687; updated=2026-08-22T07:27:21Z; https://github.com/psw2025-cmd/Genesis_System3/pull/208","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#207 / build(deps): bump numpy from 2.2.6 to 2.5.2 in /dashboard/backend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=8f591f5c5d938863fea503b089abfdbbe078b751; updated=2026-08-14T16:49:12Z; https://github.com/psw2025-cmd/Genesis_System3/pull/207","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#206 / build(deps): bump uvicorn from 0.49.0 to 0.52.1 in /dashboard/backend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=db226666472a02212ab5a4fcc866fc18eb5efe21; updated=2026-08-14T16:49:06Z; https://github.com/psw2025-cmd/Genesis_System3/pull/206","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#205 / build(deps): update google-cloud-secret-manager requirement from <3.0.0,>=2.20.0 to >=2.30.0,<3.0.0 in /dashboard/backend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=0608dacd10fa12600c39781099e603d2550f72c4; updated=2026-08-14T16:49:01Z; https://github.com/psw2025-cmd/Genesis_System3/pull/205","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#203 / build(deps): bump recharts from 2.15.4 to 3.10.1 in /dashboard/frontend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=f273dd35abf4a455828ec87ccaeb3364bf0483e4; updated=2026-08-14T16:48:32Z; https://github.com/psw2025-cmd/Genesis_System3/pull/203","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#202 / build(deps): bump tailwind-merge from 2.6.1 to 3.6.0 in /dashboard/frontend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=a54ef151168e5f473a97fdfa8fe2daad290faed4; updated=2026-08-14T16:48:24Z; https://github.com/psw2025-cmd/Genesis_System3/pull/202","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#201 / build(deps): bump lucide-react from 0.294.0 to 1.31.0 in /dashboard/frontend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=3ff1ea98525eb34364fb3ae7a26550b773aafc45; updated=2026-08-14T16:48:19Z; https://github.com/psw2025-cmd/Genesis_System3/pull/201","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#200 / chore(deps-dev): bump typescript from 5.9.3 to 7.0.2 in /dashboard/frontend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=c4fa3db96fdfb36113cb55b96e9718650563ccfc; updated=2026-08-16T15:36:55Z; https://github.com/psw2025-cmd/Genesis_System3/pull/200","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#199 / build(deps): bump pandas from 2.3.3 to 3.0.5 in /dashboard/backend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=5559909155baae6048886615a10069800cbbf6d3; updated=2026-08-14T16:48:09Z; https://github.com/psw2025-cmd/Genesis_System3/pull/199","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#197 / build(deps): bump fastapi from 0.138.0 to 0.141.1 in /dashboard/backend","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=2cb70d6dbaf6d8078f7f3c2b597c607202b41789; updated=2026-08-14T16:48:04Z; https://github.com/psw2025-cmd/Genesis_System3/pull/197","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#196 / chore(deps): bump actions/setup-node from 4 to 7","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=da1bffd3132e24c01fde4e9e4df9e6ff83887768; updated=2026-08-22T07:27:18Z; https://github.com/psw2025-cmd/Genesis_System3/pull/196","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#195 / build(deps): bump python from 3.10-slim to 3.14-slim","Open","Repository review/protection gate blocks merge; do not bypass required review","Obtain independent review and recheck exact-head mandatory checks before merge","captured=2026-08-24T12:48:16.508513+00:00; head=68aad20379d31155e8727f5b75da88882c1bb11c; updated=2026-08-14T16:48:00Z; https://github.com/psw2025-cmd/Genesis_System3/pull/195","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#192 / fix(paper): durable Cloud Run paper ledger + semantic URL truth gates","Failed","Merge conflict at head=751a2844e565a1d120a7a28fbe4e68f7306e5c39 base=67f1af1d52289e1745fdbdc1067b162e62b3ffb1","Rebuild/rebase from current main without overwriting newer ownership; rerun exact-head checks","captured=2026-08-24T12:48:16.508513+00:00; head=751a2844e565a1d120a7a28fbe4e68f7306e5c39; updated=2026-08-14T08:53:43Z; https://github.com/psw2025-cmd/Genesis_System3/pull/192","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#191 / test(gcp): make production option-chain UI parity a post-deploy gate","Failed","Merge conflict at head=30f3a6faeebe59c381ea082134e5f5b1b355c850 base=e971f10d242d6466146965a8cec7fd13303f267e","Rebuild/rebase from current main without overwriting newer ownership; rerun exact-head checks","captured=2026-08-24T12:48:16.508513+00:00; head=30f3a6faeebe59c381ea082134e5f5b1b355c850; updated=2026-08-14T04:43:23Z; https://github.com/psw2025-cmd/Genesis_System3/pull/191","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#189 / feat(data): read-only broker market-data failover core","Open","Draft PR; mergeable_state=blocked; exact-head readiness not asserted","Finish bounded scope, update tests/evidence, mark ready, then verify mandatory checks","captured=2026-08-24T12:48:16.508513+00:00; head=285a478b3680a0d7616ae17209f6a5c8d5915959; updated=2026-08-14T04:01:45Z; https://github.com/psw2025-cmd/Genesis_System3/pull/189","Keep one defect/owner per PR; retire stale branches after proven supersession"
"PullRequests","#182 / test(frontend): strict TypeScript gate — repair pass 2","Failed","Merge conflict at head=3a358d9028252bcca49a3c87df78c6a7262cbbf2 base=9a108aec33329d00cb0f38b9d5dca65195edfe64","Rebuild/rebase from current main without overwriting newer ownership; rerun exact-head checks","captured=2026-08-24T12:48:16.508513+00:00; head=3a358d9028252bcca49a3c87df78c6a7262cbbf2; updated=2026-08-13T21:24:51Z; https://github.com/psw2025-cmd/Genesis_System3/pull/182","Keep one defect/owner per PR; retire stale branches after proven supersession"
