use_case_id,audience,journey_stage,category,use_case,kid_level_goal,when_to_use,simple_steps,ui_tab_or_surface,inputs_needed,expected_output,proof_or_acceptance,status_words,safety_boundary,command_or_url,authority_source,user_action
UC-017,Viewer / Paper operator,Use,Dashboard tab,Use Option Chain,"Read strikes, CE/PE, OI, volume and freshness.",When the Option Chain question matters.,Open Option Chain > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,chain,Fresh dashboard session,Chain rows or an honest unavailable state,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-018,Viewer / Paper operator,Use,Dashboard tab,Use Signals,See suggestions plus the reason and block gates.,When the Signals question matters.,Open Signals > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,signals,Fresh dashboard session,Signal/no-trade decision,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=signals,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-019,Viewer / Paper operator,Use,Dashboard tab,Use Trade Plan,Review a plan without sending a broker order.,When the Trade Plan question matters.,Open Trade Plan > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,trade,Fresh dashboard session,"Read-only plan, entry/stop/target evidence",UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=trade,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-020,Viewer / Paper operator,Use,Dashboard tab,Use Paper Trading,Practice trades with pretend money.,When the Paper Trading question matters.,Open Paper Trading > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,paper,Fresh dashboard session,"Paper orders, ledger and P&L",UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=paper,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-021,Viewer / Paper operator,Use,Dashboard tab,Use Positions,Separate Dhan account truth from paper positions.,When the Positions question matters.,Open Positions > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,positions,Fresh dashboard session,Clearly sourced position rows,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=positions,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-022,Viewer / Paper operator,Use,Dashboard tab,Use Risk & Scenarios,Ask what could go wrong before acting.,When the Risk & Scenarios question matters.,Open Risk & Scenarios > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,risk-scenarios,Fresh dashboard session,Scenario and risk evidence,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=risk-scenarios,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-023,Viewer / Paper operator,Use,Dashboard tab,Use Multibagger Research,Study long-horizon candidates as research only.,When the Multibagger Research question matters.,Open Multibagger Research > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,multibagger,Fresh dashboard session,Candidate evidence or honest empty state,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=multibagger,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-024,Viewer / Paper operator,Use,Dashboard tab,Use Prediction Audit,Check whether predictions were made before outcomes.,When the Prediction Audit question matters.,Open Prediction Audit > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,prediction-audit,Fresh dashboard session,Prediction lineage and evaluation,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=prediction-audit,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-025,Viewer / Paper operator,Use,Dashboard tab,Use Performance,Measure results with costs and drawdown.,When the Performance question matters.,Open Performance > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,performance,Fresh dashboard session,Performance metrics with provenance,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=performance,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-026,Viewer / Paper operator,Use,Dashboard tab,Use ML,Inspect models; do not trust one accuracy number.,When the ML question matters.,Open ML > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,ml,Fresh dashboard session,"Model quality, drift and calibration evidence",UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=ml,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-027,Viewer / Paper operator,Use,Dashboard tab,Use Data Integrity,"Check if data is fresh, real and complete.",When the Data Integrity question matters.,Open Data Integrity > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,data-integrity,Fresh dashboard session,"Source, age, gaps and quality",UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=data-integrity,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-028,Viewer / Paper operator,Use,Dashboard tab,Use Broker,Check Dhan connection in read-only mode.,When the Broker question matters.,Open Broker > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,broker,Fresh dashboard session,Auth/connection/funds/holdings status,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=broker,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-029,Viewer / Paper operator,Use,Dashboard tab,Use Alerts,See what needs attention without panic.,When the Alerts question matters.,Open Alerts > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,alerts,Fresh dashboard session,Deduplicated warnings and severity,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=alerts,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-030,Viewer / Paper operator,Use,Dashboard tab,Use System,"Inspect services, versions and diagnostics.",When the System question matters.,Open System > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,system,Fresh dashboard session,Health and component status,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=system,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-031,Viewer / Paper operator,Use,Dashboard tab,Use Gates,See which locks block readiness.,When the Gates question matters.,Open Gates > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,gates,Fresh dashboard session,Gate pass/fail and blockers,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=gates,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-032,Paper operator,Daily,Market,Before-market check,Check the playground before practice starts.,Before Indian market hours.,Safety locks > health > Dhan read-only > data freshness > chain > gates.,Overview / Broker / Data Integrity / Gates,Fresh session,"Ready, partial, or blocked checklist",No hidden red/stale state,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,AGENTS.md,None for routine safe work
UC-033,Paper operator,Daily,Market,During-market watch,Watch data move without touching real money.,During market session.,Refresh health > compare UI/API > watch stale/429/401/5xx > keep paper separate.,Overview / Chain / Signals / Paper,Market data,Timestamped observations,Freshness and source stay explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-034,Paper operator,Daily,Reconciliation,End-of-day review,Compare guesses with what actually happened.,After the trading day.,Join predictions to outcomes > review selected/rejected > include costs > classify misses.,Prediction Audit / Performance,Prediction and paper ledgers,PASS/PARTIAL/FAIL/BLOCKED verdict,Row-level lineage exists,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/SYSTEM3_CORE_TRADING_GOAL_AND_ARCHITECTURE.md,None for routine safe work
UC-035,Paper operator,Use,Paper,Create a paper-only learning loop,"Practice, measure, improve.",Testing a signal or strategy.,Record prediction > simulate realistic fill > apply risk > exit > reconcile.,Signals / Paper / Performance,Fresh quote + strategy,Auditable paper trade,No broker mutation; costs/slippage recorded,PASS | PARTIAL | FAIL | BLOCKED,Paper only. A paper button or plan must never call a live order route.,,docs/project_control/PREDICTION_WORLD_CLASS_BENCHMARK_POLICY.md,None for routine safe work
UC-036,Analyst,Research,Options,Compare NIFTY-family chains,Check more than one option playground.,Options/chain research.,Check NIFTY > BANKNIFTY > FINNIFTY > MIDCPNIFTY separately.,Options Intel / Chain,Fresh contracts and expiries,Per-underlying evidence,"Symbol, source, expiry, strikes and timestamps verified",PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-037,Analyst,Research,Prediction,Benchmark a model challenger,Let a new brain compete fairly.,Any material feature/model change.,Fix data truth > prevent leakage > same-window tournament > costs > calibration > robustness.,ML / Prediction Audit,Point-in-time dataset,Champion/challenger matrix,All promotion gates green; simple baselines included,PASS | PARTIAL | FAIL | BLOCKED,No automatic LIVE enablement or capital deployment.,,docs/project_control/PREDICTION_WORLD_CLASS_BENCHMARK_POLICY.md,None for routine safe work
UC-038,Analyst,Research,Data,Add a feature safely,Teach one new clue and prove it helps.,Feature engineering.,Record source/version/as-of/availability > leakage test > missingness > OOS ablation.,Data Integrity / ML,Point-in-time feature,Versioned feature row,Incremental OOS value proven,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/project_control/PREDICTION_WORLD_CLASS_BENCHMARK_POLICY.md,None for routine safe work
UC-039,Developer,Change,Code,Fix a bug,Find the broken brick and replace only that brick.,Verified repo or runtime issue.,Reproduce > root cause > regression test > smallest fix > focused tests > PR.,Repository / PR,Current main + issue evidence,Reviewed code change,Exact-head required CI green,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-040,Developer,Verify,Tests,Run focused tests,Check the part you changed.,Before broad CI.,Choose nearby unit/contract tests > run > read the first real failure.,Terminal,Changed files,Test results,Relevant tests pass,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,.\.venv\Scripts\python.exe -m pytest <test_path> -q,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-041,Developer,Verify,Frontend,Build and browser-test UI,Make sure the screen still fits and works.,Frontend changes.,Build TypeScript/Vite > run Playwright > inspect screenshots/console/network.,Frontend,Node dependencies,Build + browser evidence,No regressions at applicable viewports,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,npm run build; npm run test:dashboard,package.json,None for routine safe work
UC-042,Maintainer,Control,Preflight,Generate current control-plane snapshot,Check traffic lights before moving production.,Before merge/deploy/production transition.,Run fresh preflight > inspect main/PR/workflows/artifacts/issues.,Control plane,GitHub/GCP access,Fresh snapshot,Critical claims independently revalidated,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,.\.venv\Scripts\python.exe scripts\system3_preflight_control_plane.py,docs/PREFLIGHT_CONTROL_PLANE.md,None for routine safe work
UC-043,Maintainer,Control,CI,Inspect a failed workflow,Open the red box and read the label inside.,Current-main or active-PR failure.,Open run > failed job > failed step > log/artifact > fix cause.,GitHub Actions,Run ID,Root-cause evidence,No diagnosis from red icon alone,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,gh run view <run-id> --log-failed,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-044,Maintainer,Release,Merge,Merge an exact proven head,Only join code that passed its own test.,Required CI green on exact PR head.,Re-read runbook > fetch > verify SHA/checks > merge.,GitHub PR,Exact head SHA,Merge SHA,Mandatory checks green for exact head,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-045,Maintainer,Release,Deploy,Verify Cloud Run deployment,Make sure cloud serves the new box.,Immediately after merge.,Check project/region/service > revision/traffic > serving SHA > safety env.,GCP Cloud Run,Merge SHA,Serving revision proof,100% intended traffic and exact provenance,PASS | PARTIAL | FAIL | BLOCKED,No service-account JSON keys; WIF only.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-046,Maintainer,Release,Production proof,Capture fresh 22-tab proof,Take a new report card after the fix reaches cloud.,After serving SHA converges.,New browser > actual GCP URL > all 22 tabs > APIs > console/network > end SHA.,Production UI,Deployed SHA,Timestamped semantic proof pack,UI/API agree and evidence is request-scoped,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,.\.venv\Scripts\python.exe scripts\gcp_live_ui_snapshot.py,docs/authority/TEMPORAL_TRUTH_AND_LIVE_EVIDENCE_POLICY.md,None for routine safe work
UC-047,Maintainer,Operate,Broker,Investigate Dhan authentication,Check the key works without showing the key.,Broker is disconnected or 401-like.,Use bounded read-only status > inspect redacted logs > dedicated recovery authority only if needed.,Broker,Authorized runtime access,AUTH_OK/DEGRADED/BLOCKED reason,No secret payload exposed,PASS | PARTIAL | FAIL | BLOCKED,Never paste tokens; rotation only through bounded Dhan authority.,,AGENTS.md,None for routine safe work
UC-048,Maintainer,Operate,Scheduler,Check recurring jobs,Make sure the alarm clock rings and does useful work.,"Missing/stale forecasts, ranks, or signals.",Check scheduler transport > job date > output freshness > business result.,System / Alerts,Fresh scheduler/log evidence,Transport and business-health verdicts,Healthy transport is not confused with correct business date,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,reports/coordination/COMMAND_CENTER.md,None for routine safe work
UC-049,Maintainer,Operate,Repo cleanup,Find safe storage savings,Sort trash only after proving it is trash.,Repo size/duplicate/storage request.,Run canonical toolkit > read current executive decision > act only on DELETE_PROVEN_100 rows via PR.,Repository,Fresh current-main scan,Report-only cleanup decision,Storage layers separated; no history rewrite,PASS | PARTIAL | FAIL | BLOCKED,"Toolkit never deletes source, artifacts, history, or secrets.",.\.venv\Scripts\python.exe scripts\system3_repo_clean_forensic_toolkit.py,docs/project_control/REPO_CLEAN_FORENSIC_TOOLKIT.md,None for routine safe work
UC-050,Everyone,Troubleshoot,Statuses,Read status words correctly,"Know whether to smile, wait, or investigate.",Any report or dashboard card.,PASS=proven > PARTIAL=some proof > FAIL=wrong > BLOCKED=missing dependency > WAITING=in progress.,All surfaces,Status + evidence,Correct next action,Status has timestamp and named evidence,PASS | PARTIAL | FAIL | BLOCKED | WAITING | DEGRADED | STALE,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-051,Everyone,Troubleshoot,HTTP,Understand common web errors,Translate the number into a next check.,API/UI failure.,401=auth > 404=route > 429=rate limit > 5xx=server > timeout=network/service.,Browser / API,Status code + response,Classified problem,Read response/log; do not guess,200 | 401 | 404 | 429 | 5xx | TIMEOUT,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-052,Everyone,Troubleshoot,Empty data,"Treat blank as a clue, not zero.",Find out why the box is empty before deciding what it means.,Table/chart has no rows.,Check source > timestamp > market state > API > error banner > lineage.,Any data tab,UI + API response,EMPTY/WAITING/STALE reason,No synthetic fill presented as live,EMPTY | WAITING | STALE | ERROR,Read-only or PAPER/ANALYZE only; never place a real order.,,AGENTS.md,None for routine safe work
UC-053,Everyone,Security,Secrets,Keep passwords and broker keys private,Never show the secret sticker.,"Logs, chats, screenshots, commits.",Use templates/secret manager > redact > scan > rotate only through authority.,All surfaces,"Secret names, never values",No exposed secret,Secret scan and redacted evidence,PASS | PARTIAL | FAIL | BLOCKED,Never commit or paste Dhan/GitHub/GCP secret payloads.,,AGENTS.md,None for routine safe work
UC-054,Everyone,Safety,Forbidden,Know the red line,Never let a learning task become a real-money action.,Always.,Do not place/modify/cancel/square-off real orders; do not enable LIVE.,All surfaces,None,Action refused and safely redirected,Safety flags unchanged,FORBIDDEN,Human break-glass is required for LIVE or real orders.,,AGENTS.md,Only explicit human break-glass/account-level approval
UC-055,Agent,Communicate,Progress,Write a useful work update,Tell the next helper exactly where the work is.,Every active remediation update.,State STATUS > IN_PROGRESS > CURRENT_STEP > NEXT_ACTION > USER_ACTION.,Issue / PR / report,Fresh evidence,Five-field update,Claims are timestamped and scoped,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,AGENTS.md,None for routine safe work
UC-056,Agent,Close,Completion,Close only after user-visible proof,Do not call the toy fixed while it is still broken on screen.,After code/CI/deploy.,Re-read runbook > prove serving SHA > new UI/API proof > ledger > close.,Completion ledger,Fresh production evidence,Evidence-backed closure,No required work remains,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/control_plane/SYSTEM3_AGENT_RUNBOOK.md,None for routine safe work
UC-057,Everyone,Reference,CSV,Use this CSV as a checklist,Filter the big map into your small job.,"Training, SOPs, QA, audits, handoffs.",Filter by audience/category/tab/status > follow steps > record proof.,This CSV,Spreadsheet app,Personalized checklist,Original row IDs retained,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/onboarding/SYSTEM3_NEW_USER_ALL_USE_CASES.csv,None for routine safe work
UC-058,Maintainer,Audit,Storage,Break-Glass Storage Audit,Prove which cloud notebook survives when the cloud box restarts.,When ML/validation history vanishes or a durable-state claim is disputed.,Record request UTC > inspect current writer and reader code > describe Cloud Run volumes and mounts > compare local paths with Firestore or other durable targets > report raw read-only output.,Cloud Run / Firestore / repository,Maintainer authority plus read-only GCP access,Writer-reader durability map and evidence-backed wipe diagnosis,Current Cloud Run volume configuration and exact persistence code paths are recorded,PROVEN | PARTIAL | FAIL | BLOCKED,Read-only break-glass does not authorize LIVE flags orders secrets IAM mutation or data deletion.,"gcloud run services describe genesis-system3-web --region=asia-south1 --format=""yaml(spec.template.spec.volumes, spec.template.spec.containers[0].volumeMounts)""",docs/onboarding/SYSTEM3_DIAGNOSTIC_REPORT.md,Human break-glass only when an account-level mutation is actually required
